month	ct_avg_Tdx平均成交价	ct_avg_noise_avg_Tdx平均成交价
2007-01	8.65	98.21	
2007-02	9.27	98.04	
2007-03	9.9	98.66	
2007-04	12.52	99.4	
2007-05	14.93	99.2	
2007-06	15.4	95.28	
2007-07	15.1	85.84	
2007-08	17.64	97.79	
2007-09	19.56	98.39	
2007-10	21.01	95.93	
2007-11	20.36	84.41	
2007-12	20.02	76.16	
2008-01	21.62	88.72	
2008-02	20.3	66.49	
2008-03	18.7	34.74	
2008-04	16.4	-7.74	
2008-05	16.73	-22.55	
2008-06	13.16	-47.86	
2008-07	12.12	-63.94	
2008-08	10.46	-83.33	
2008-09	9.22	-88.58	
2008-10	8.42	-91.52	
2008-11	7.74	-89.73	
2008-12	8.13	-81.83	
2009-01	8.64	-67.92	
2009-02	9.48	-44.24	
2009-03	10.17	-21.14	
2009-04	10.99	5.19	
2009-05	11.57	24.7	
2009-06	12.19	38.8	
2009-07	13.62	55.4	
2009-08	13.83	62.12	
2009-09	13.37	55.4	
2009-10	14.01	70.2	
2009-11	13.69	72.28	
2009-12	14.11	85.17	
2010-01	14.18	79.69	
2010-02	13.29	43.93	
2010-03	13.27	21.97	
2010-04	14.22	56.72	
2010-05	12.49	-1.16	
2010-06	11.62	-48.12	
2010-07	10.43	-69.97	
2010-08	11.1	-69.4	
2010-09	12.37	-42.11	
2010-10	13.69	1.51	
2010-11	14.28	28.33	
2010-12	13.96	40.37	
2011-01	12.9	21.96	
2011-02	13.62	27.38	
2011-03	14.01	50.89	
2011-04	12.81	13.44	
2011-05	12.46	-22.7	
2011-06	12.11	-48.3	
2011-07	12.59	-36.18	
2011-08	11.53	-67.28	
2011-09	10.79	-83.38	
2011-10	9.93	-94.7	
2011-11	10.67	-80.19	
2011-12	9.49	-91.84	
2012-01	9.97	-82.68	
2012-02	10.35	-67.23	
2012-03	11.23	-26.87	
2012-04	10.69	-31.83	
2012-05	11.43	7.87	
2012-06	11.24	19.6	
2012-07	10.67	-1.46	
2012-08	10.23	-37.89	
2012-09	9.14	-65.04	
2012-10	8.99	-69.15	
2012-11	8.71	-74.39	
2012-12	9.12	-69.69	
2013-01	10.13	-33.75	
2013-02	10.49	-1.43	
2013-03	10.22	2.76	
2013-04	10.13	0.1	
2013-05	10.39	25.37	
2013-06	9.4	-3.1	
2013-07	9.26	-47.67	
2013-08	9.36	-52.96	
2013-09	9.29	-54.14	
2013-10	9.37	-32.64	
2013-11	9.41	-47.24	
2013-12	9.55	-26.91	
2014-01	9.5	-23.21	
2014-02	9.33	-31.97	
2014-03	8.72	-78.44	
2014-04	9.01	-75.72	
2014-05	8.54	-88.12	
2014-06	8.91	-72.23	
2014-07	8.64	-69.41	
2014-08	8.82	-70.79	
2014-09	8.89	-41.67	
2014-10	8.58	-60.66	
2014-11	8.72	-67.63	
2014-12	10.86	34.16	
2015-01	12.41	77.05	
2015-02	12.47	86.25	
2015-03	12.74	91.64	
2015-04	14.26	97.53	
2015-05	15.66	98.08	
2015-06	15.15	85.76	
2015-07	12.93	52.76	
2015-08	12.34	32.23	
2015-09	11.23	-4.11	
2015-10	12.26	-2.26	
2015-11	13.37	25.55	
2015-12	13.59	39.01	
2016-01	10.77	-21.61	
2016-02	9.92	-58.93	
2016-03	10.73	-62.54	
2016-04	11.06	-62.99	
2016-05	10.85	-62.76	
2016-06	12.15	-16.96	
2016-07	11.98	4.25	
2016-08	11.65	-2.02	
2016-09	11.54	-11.65	
2016-10	10.35	-56.81	
2016-11	10.35	-69.03	
2016-12	10.44	-75.77	
2017-01	10.2	-74.9	
2017-02	10.43	-68.7	
2017-03	11.51	-11.57	
2017-04	10.93	-11.21	
2017-05	10.75	-22.23	
2017-06	12.34	32.35	
2017-07	11.76	44.05	
2017-08	11.73	35.79	
2017-09	12.56	77.63	
2017-10	12.8	82.67	
2017-11	13.4	89.65	
2017-12	13.89	92.26	
2018-01	13.16	75.08	
2018-02	12.98	56.43	
2018-03	13.68	75.33	
2018-04	13.58	72.87	
2018-05	13.99	83.73	
2018-06	13.65	71.38	
2018-07	12.51	15.02	
2018-08	12.26	-26.48	
2018-09	12.22	-40.41	
2018-10	11.17	-70.39	
2018-11	10.67	-86	
2018-12	11.36	-72.99	
2019-01	10.79	-83.16	
2019-02	10.5	-82.2	
2019-03	11.89	-47.28	
2019-04	12.93	10.12	
2019-05	12.73	27.37	
2019-06	12.91	30.73	
2019-07	13.79	58.58	
2019-08	14.17	71.59	
2019-09	14.65	84.69	
2019-10	15.24	90.03	
2019-11	14.34	73.47	
2019-12	13.59	44.03	
2020-01	15.34	60.66	
2020-02	15.11	77.72	
2020-03	14.95	76.14	
2020-04	15.15	74.19	
2020-05	15.85	92.01	
2020-06	15.81	71.7	
2020-07	17.15	92.93	
2020-08	17.61	90.31	
2020-09	18.21	92	
2020-10	19.56	95.2	
2020-11	18.16	80.1	
2020-12	19.45	73.72	
2021-01	22.05	95.04	
2021-02	21.2	88.81	
2021-03	17.56	37.15	
2021-04	19.28	37.03	
2021-05	20.05	55.61	
2021-06	23.25	84.57	
2021-07	22.63	78.73	
2021-08	21.73	72.36	
2021-09	17.53	8.3	
2021-10	20.47	10.94	
2021-11	21.52	46.59	
2021-12	20.05	2.87	
2022-01	20.16	-3.06	
2022-02	19.3	-32.09	
2022-03	19.2	-40.06	
2022-04	17.48	-66.54	
2022-05	18.13	-74.25	
2022-06	19.85	-40.35	
2022-07	22.62	15.39	
2022-08	22.87	43.94	
2022-09	19.89	21	
2022-10	20.45	10.71	
2022-11	18.04	-27.15	
2022-12	18.49	-47.24	
2023-01	20.27	-22.04	
2023-02	19.15	-30.18	
2023-03	17.28	-62.34	
2023-04	20.03	-19.74	
2023-05	16.51	-73.04	
2023-06	19.35	-47.19	
2023-07	18.81	-32.23	
2023-08	17.33	-67.59	
2023-09	17.08	-83.35	
2023-10	16.97	-84.14	
2023-11	16.68	-86.16	
2023-12	16.31	-90.43	
2024-01	15.14	-95.17	
2024-02	15.11	-88.07	
2024-03	17.72	-36.18	
2024-04	15.38	-70.8	
2024-05	15.49	-78.3	
2024-06	16.37	-48.17	
2024-07	15.72	-57.88	
2024-08	14.68	-85.35	
2024-09	14.52	-84.92	
2024-10	18.73	-10.02	
2024-11	18.86	42.6	
2024-12	18.89	69.64	
2025-01	19.41	79.12	
