month	ct_avg_前复权价格	人均持股
2018-05	2.44	1058	
2018-06	3.39	1417	
2018-09	2.81	1869	
2018-12	2.54	1819909	
2019-06	2.66	2342219	
2019-12	4.17	3410271	
2020-06	5.41	4973312	
2020-12	7.56	5683785	
2021-06	11.31	6022656	
2021-12	9.77	6760347	
2022-06	7.55	6880198	
2022-12	6.04	6814917	
2023-06	5.12	7062169	
2023-12	5.8	6940408	
2024-06	3.29	6560613	
