month	ct_avg_Tdx收盘价	股东人数
2018-05	76	98457	
2018-06	105.31	73534	
2018-09	87.49	55754	
2018-12	78.98	64	
2019-06	82.65	52	
2019-12	92.11	50	
2020-06	89.86	48	
2020-12	118.88	54	
2021-06	154.96	64	
2021-12	127.69	58	
2022-06	98.39	57	
2022-12	78.56	58	
2023-06	66.19	57	
2023-12	74.5	58	
2024-06	42.07	59	
