month	ct_avg_前复权价格	股东人数
2017-12	1.17	97477	
2018-03	0.88	72246	
2018-06	0.7	64946	
2018-09	0.74	57082	
2018-12	0.73	52188	
2019-03	0.83	53033	
2019-06	0.74	51011	
2019-09	0.74	48771	
2019-12	0.79	44458	
2020-03	0.67	46504	
2020-06	0.62	45568	
2020-09	0.67	43245	
2020-12	0.69	39948	
2021-03	0.71	38102	
2021-06	0.74	35589	
2021-09	0.75	34976	
2021-12	0.75	33357	
2022-03	0.75	33643	
2022-06	0.77	33271	
2022-09	0.8	30673	
2022-12	0.81	31818	
2023-03	0.88	29399	
2023-06	0.96	30636	
2023-09	1.06	29946	
2023-12	1.06	28583	
2024-03	1.17	31407	
2024-06	1.26	35013	
2024-09	1.36	35419	
