month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2020-01	8.64	23.41	
2020-02	7.53	-42.77	
2020-03	7.23	-83.48	
2020-04	6.99	-91.67	
2020-05	6.9	-92.61	
2020-06	6.76	-95.49	
2020-07	7.33	-62.5	
2020-08	7.22	-50.04	
2020-09	6.93	-70.62	
2020-10	6.85	-77.29	
2020-11	7.11	-47.32	
2020-12	7.18	-17.51	
2021-01	7	-35.53	
2021-02	6.75	-72.44	
2021-03	7.38	-9.86	
2021-04	7.67	56.72	
2021-05	8.13	79.02	
2021-06	7.69	68.07	
2021-07	7.24	24.35	
2021-08	7.06	-11.32	
2021-09	7.58	30.4	
2021-10	7.27	10.55	
2021-11	7.01	-42.65	
2021-12	7.58	12.58	
2022-01	7.96	61.89	
2022-02	8.53	82.7	
2022-03	7.76	61.67	
2022-04	7.83	62.08	
2022-05	7.39	11.37	
2022-06	7.81	45.28	
2022-07	7.56	10.63	
2022-08	7.35	-25.66	
2022-09	7.75	14.92	
2022-10	7.78	34.99	
2022-11	7.83	47.48	
2022-12	7.87	57.14	
2023-01	7.72	34.04	
2023-02	8	62.86	
2023-03	8.55	79.43	
2023-04	8.92	93.56	
2023-05	9.13	91.34	
2023-06	9.29	93.97	
2023-07	9.32	90.73	
2023-08	9.33	83.07	
2023-09	9.87	95.18	
2023-10	9.51	79.41	
2023-11	9.41	60.39	
2023-12	9.87	88.99	
2024-01	10.02	92.33	
2024-02	10.57	97.19	
2024-03	10.83	95.24	
2024-04	11.61	97.28	
2024-05	11.46	88.79	
2024-06	11.7	91.35	
2024-07	12.12	96.16	
2024-08	12.58	96.23	
2024-09	12.08	76.83	
2024-10	12.03	67.51	
2024-11	11.7	37.12	
2024-12	12.93	72.73	
2025-01	13.13	85.61	
2025-02	12.31	70.89	
