month	ct_avg_前复权价格	人均持股
2017-12	1.51	2299	
2018-03	1.31	4990	
2018-06	1.03	5841	
2018-09	0.92	6321	
2018-12	0.99	36018	
2019-03	1.23	41895	
2019-06	1.33	48415.5	
2019-09	1.57	56989	
2019-12	1.51	59632	
2020-03	1.3	62842	
2020-06	1.32	65958	
2020-07	1.5	69384	
2020-08	1.51	69566	
2020-09	1.61	75809.67	
2020-10	1.59	79056	
2020-12	1.73	171189	
2021-03	2	166967	
2021-06	2.21	197704	
2021-09	2.76	205388	
2021-12	2.57	180379	
2022-03	2.38	188290	
2022-06	2.81	223400	
2022-09	2.96	242225	
2022-12	2.66	232060	
2023-03	2.9	248064	
2023-06	2.95	246161	
2023-09	3.08	256140	
2023-12	3.58	243500	
2024-03	3.96	241274	
2024-06	4.43	243922	
2024-09	4.53	230279	
