month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2020-07	13.39	1.98	
2020-08	12.46	1.7	
2020-09	11.34	1.41	
2020-10	10.86	1.26	
2020-11	10.75	1.19	
2020-12	11.02	1.2	
2021-01	11.64	1.27	
2021-02	10.59	1.03	
2021-03	8.28	0.56	
2021-04	7.35	0.37	
2021-05	7.7	0.42	
2021-06	8.4	0.52	
2021-07	7.78	0.39	
2021-08	8.48	0.5	
2021-09	7.53	0.31	
2021-10	7.24	0.25	
2021-11	7.67	0.31	
2021-12	8.67	0.46	
2022-01	8.47	0.41	
2022-02	7.82	0.28	
2022-03	7.32	0.19	
2022-04	6.4	0.03	
2022-05	6.73	0.08	
2022-06	6.94	0.1	
2022-07	6.8	0.07	
2022-08	6.98	0.09	
2022-09	5.99	-0.08	
2022-10	6.02	-0.08	
2022-11	6.33	-0.04	
2022-12	5.98	-0.1	
2023-01	6.13	-0.08	
2023-02	7.28	0.08	
2023-03	8.87	0.3	
2023-04	15.84	1.28	
2023-05	18.65	1.62	
2023-06	28.55	2.86	
2023-07	30.34	2.96	
2023-08	26.63	2.36	
2023-09	22.95	1.83	
2023-10	21.09	1.54	
2023-11	21.05	1.49	
2023-12	23.67	1.72	
2024-01	22.81	1.56	
2024-02	29.8	2.25	
2024-03	35.92	2.78	
2024-04	36.25	2.68	
2024-05	36.64	2.6	
2024-06	40.14	2.8	
2024-07	42.4	2.87	
2024-08	35.13	2.11	
2024-09	34.33	1.95	
2024-10	47.83	2.96	
2024-11	41.85	2.35	
2024-12	39.1	2.04	
2025-01	36.51	1.76	
