month	ct_avg_前复权价格	股东人数
2019-05	0.9	615955	
2019-06	0.76	285356	
2019-09	0.66	225509	
2019-12	0.61	201934	
2020-03	0.59	178045	
2020-06	0.59	160669	
2020-09	0.76	99753	
2020-12	0.82	98348	
2021-02	1.28	77360	
2021-03	1.1	99707	
2021-06	1	133746	
2021-09	1.21	135489	
2021-12	1.25	137735	
2022-03	1.14	129331	
2022-06	1.15	108446	
2022-09	1	115020	
2022-12	0.99	109196	
2023-03	1.16	84955	
2023-06	0.98	91275	
2023-09	1.1	75215	
2023-12	1.1	71110	
2024-03	1.2	63411	
2024-06	1.28	58118	
2024-09	1.2	58369	
