month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2006-09	4.92	-0.44	
2006-10	5.1	-0.41	
2006-11	4.91	-0.43	
2006-12	5.19	-0.4	
2007-01	5.81	-0.32	
2007-02	6.58	-0.23	
2007-03	7.59	-0.11	
2007-04	9.7	0.14	
2007-05	12.81	0.5	
2007-06	11.92	0.39	
2007-07	9.32	0.08	
2007-08	11.43	0.33	
2007-09	12.74	0.47	
2007-10	12.02	0.38	
2007-11	11.71	0.35	
2007-12	12.33	0.42	
2008-01	15.51	0.77	
2008-02	14.69	0.67	
2008-03	13.6	0.54	
2008-04	9.45	0.07	
2008-05	10.52	0.2	
2008-06	7.98	-0.09	
2008-07	7.78	-0.1	
2008-08	6.03	-0.3	
2008-09	4.77	-0.44	
2008-10	3.77	-0.55	
2008-11	3.88	-0.53	
2008-12	4.43	-0.46	
2009-01	4.47	-0.45	
2009-02	6.1	-0.25	
2009-03	5.92	-0.26	
2009-04	8.07	0.01	
2009-05	8.32	0.05	
2009-06	7.58	-0.04	
2009-07	8.6	0.1	
2009-08	8.31	0.07	
2009-09	7.73	0	
2009-10	8.21	0.08	
2009-11	9.68	0.28	
2009-12	9.85	0.3	
2010-01	9.23	0.22	
2010-02	9.02	0.2	
2010-03	10.92	0.45	
2010-04	12.09	0.6	
2010-05	10.74	0.42	
2010-06	10.28	0.35	
2010-07	9.8	0.29	
2010-08	11.17	0.47	
2010-09	13.43	0.76	
2010-10	15.32	0.99	
2010-11	19.85	1.54	
2010-12	21.26	1.68	
2011-01	21.07	1.62	
2011-02	24.78	2.03	
2011-03	29.32	2.49	
2011-04	30.39	2.52	
2011-05	29.65	2.35	
2011-06	29.37	2.25	
2011-07	32.7	2.52	
2011-08	27.52	1.9	
2011-09	25.09	1.59	
2011-10	20.97	1.14	
2011-11	21.31	1.15	
2011-12	19.11	0.9	
2012-01	20.47	1.01	
2012-02	21.68	1.1	
2012-03	23.41	1.23	
2012-04	21.41	1.01	
2012-05	17.71	0.65	
2012-06	11.21	0.04	
2012-07	9.13	-0.15	
2012-08	8.91	-0.17	
2012-09	8.71	-0.19	
2012-10	9.64	-0.11	
2012-11	8.75	-0.19	
2012-12	8.8	-0.19	
2013-01	9.52	-0.13	
2013-02	9.48	-0.13	
2013-03	9.07	-0.17	
2013-04	8.15	-0.26	
2013-05	7.87	-0.29	
2013-06	6.98	-0.37	
2013-07	6.13	-0.45	
2013-08	6.47	-0.42	
2013-09	6.64	-0.4	
2013-10	6.64	-0.41	
2013-11	6.59	-0.41	
2013-12	6.11	-0.46	
2014-01	4.9	-0.56	
2014-02	5.03	-0.55	
2014-03	5.24	-0.53	
2014-04	5.15	-0.54	
2014-05	5.28	-0.53	
2014-06	4.98	-0.56	
2014-07	5.04	-0.55	
2014-08	5.4	-0.52	
2014-09	5.77	-0.49	
2014-10	6.32	-0.44	
2014-11	6.8	-0.4	
2014-12	6.74	-0.4	
2015-01	6.98	-0.38	
2015-02	7.09	-0.37	
2015-03	8.14	-0.28	
2015-04	9.37	-0.18	
2015-05	9.91	-0.13	
2015-06	12.27	0.07	
2015-07	9.39	-0.19	
2015-08	13.83	0.2	
2015-09	12.5	0.08	
2015-10	13.51	0.17	
2015-11	16.23	0.39	
2015-12	21.41	0.82	
2016-01	16.9	0.43	
2016-02	12.33	0.04	
2016-03	10.96	-0.07	
2016-04	11.82	0	
2016-05	10.1	-0.14	
2016-06	10.31	-0.12	
2016-07	10.83	-0.07	
2016-08	10.29	-0.12	
2016-09	10.64	-0.09	
2016-10	10.9	-0.07	
2016-11	11.07	-0.06	
2016-12	10.42	-0.11	
2017-01	11.05	-0.07	
2017-02	11.52	-0.03	
2017-03	11.83	-0.01	
2017-04	12.17	0.01	
2017-05	13.22	0.09	
2017-06	11.42	-0.06	
