month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2017-06	1.63	67.26	
2017-07	1.65	75.51	
2017-08	1.62	70.5	
2017-09	1.59	49.96	
2017-10	1.59	35.61	
2017-11	1.6	50.32	
2017-12	1.55	-2.98	
2018-01	1.57	-3.86	
2018-02	1.54	-12.38	
2018-03	1.48	-51.14	
2018-04	1.39	-74.36	
2018-05	1.37	-82.51	
2018-06	1.23	-93.44	
2018-07	1.2	-90.67	
2018-08	1.24	-79.08	
2018-09	1.26	-71.66	
2018-10	1.19	-79.46	
2018-11	1.18	-87.42	
2018-12	1.14	-93.84	
2019-01	1.15	-84.94	
2019-02	1.22	-55.54	
2019-03	1.32	-7.06	
2019-04	1.34	20.79	
2019-05	1.21	-14.02	
2019-06	1.18	-33.79	
2019-07	1.2	-41.42	
2019-08	1.19	-44.2	
2019-09	1.19	-48.57	
2019-10	1.16	-65.28	
2019-11	1.07	-75.47	
2019-12	1.09	-70.74	
2020-01	1.1	-73.32	
2020-02	1.02	-90.62	
2020-03	1	-92.17	
2020-04	0.97	-92.86	
2020-05	0.92	-98.07	
2020-06	0.9	-94.82	
2020-07	0.98	-64.83	
2020-08	1.03	-31.89	
2020-09	1.03	-13.64	
2020-10	1.02	-9.6	
2020-11	1.06	22.79	
2020-12	1.09	40.95	
2021-01	1.14	62.05	
2021-02	1.13	61.61	
2021-03	1.22	86.41	
2021-04	1.19	76.57	
2021-05	1.2	79.76	
2021-06	1.14	50.13	
2021-07	1.12	28	
2021-08	1.19	45.13	
2021-09	1.58	89.64	
2021-10	1.55	89.45	
2021-11	1.54	85.72	
2021-12	1.75	95.15	
2022-01	1.72	86.47	
2022-02	1.69	78.35	
2022-03	1.81	90.14	
2022-04	1.78	84.45	
2022-05	1.65	47.42	
2022-06	1.59	17.18	
2022-07	1.55	-1.87	
2022-08	1.5	-22.86	
2022-09	1.48	-35.59	
2022-10	1.46	-47.93	
2022-11	1.46	-55.76	
2022-12	1.46	-55.93	
2023-01	1.43	-78.46	
2023-02	1.43	-82.63	
2023-03	1.56	-15.53	
2023-04	1.59	28.38	
2023-05	1.67	52.41	
2023-06	1.63	51.16	
2023-07	1.73	77.21	
2023-08	1.76	84.24	
2023-09	1.78	87.46	
2023-10	1.78	88.39	
2023-11	1.73	65.3	
2023-12	1.76	61.78	
2024-01	1.94	92.82	
2024-02	2.06	97.77	
2024-03	2.14	95.11	
2024-04	2.26	97.05	
2024-05	2.27	91.52	
2024-06	2.5	99.01	
2024-07	2.8	99.22	
2024-08	2.73	88.64	
2024-09	2.53	67.62	
2024-10	2.58	63.64	
2024-11	2.43	32.65	
2024-12	2.47	22.52	
2025-01	2.39	3.27	
2025-02	2.42	-7.86	
