month	ct_avg_前复权价格	人均持股
2017-12	8.8	6016	
2018-03	8.71	4511	
2018-06	5.83	5635	
2018-09	5.07	5633	
2018-12	4.01	6384	
2019-03	4.92	6868	
2019-06	3.9	6482	
2019-09	4.5	6941	
2019-12	4.05	6132	
2020-03	3.86	10387	
2020-06	3.44	12714	
2020-09	3.28	12287	
2020-12	3.05	12132	
2021-03	2.69	30150	
2021-06	2.27	34491	
2021-09	2.27	36914	
2021-12	2.28	35718	
2022-03	1.9	34650	
2022-06	1.56	33833	
2022-09	1.35	34412	
2022-12	1.27	35871	
2023-03	2.55	21732	
2023-06	2.7	14121	
2023-09	1.94	16903	
2023-12	1.69	17646	
2024-03	1.74	17076	
2024-06	1.5	18620	
2024-09	1.36	20092	
