month	ct_avg_前复权价格	股东人数
2017-12	8.8	66021	
2018-03	8.71	88052	
2018-06	5.83	70482	
2018-09	5.07	70508	
2018-12	4.01	62217	
2019-03	4.92	57835	
2019-06	3.9	61277	
2019-09	4.5	57220	
2019-12	4.05	64772	
2020-03	3.86	114816	
2020-06	3.44	140729	
2020-09	3.28	145622	
2020-12	3.05	147483	
2021-03	2.69	160993	
2021-06	2.27	196113	
2021-09	2.27	193569	
2021-12	2.28	200051	
2022-03	1.9	206216	
2022-06	1.56	211198	
2022-09	1.35	207640	
2022-12	1.27	199197	
2023-03	2.55	328800	
2023-06	2.7	506012	
2023-09	1.94	422740	
2023-12	1.69	404936	
2024-03	1.74	418443	
2024-06	1.5	383746	
2024-09	1.36	355626	
