month	ct_avg_Tdx收盘价	人均持股
2014-03	35.08	4973	
2014-06	40.28	11513	
2014-09	51.67	16427	
2014-12	49.58	12304	
2015-03	62.85	29528	
2015-06	66.6	17493	
2015-09	45.16	11243	
2015-12	49.02	5570	
2016-03	55.23	10626	
2016-06	50.99	5177	
2016-09	25.17	6579	
2016-12	24.29	6384	
2017-03	27.04	29806	
2017-06	25.68	21138	
2017-09	38.89	26662	
2017-12	52.47	30596	
2018-03	47.74	25186	
2018-06	48.02	30981	
2018-09	23.04	51574	
2018-12	28.54	64519	
2019-03	54.49	62290	
2019-06	60.64	32957	
2019-09	73.25	26719	
2019-12	84.47	22068	
2020-01	90.26	25012	
2020-03	120.35	21956	
2020-06	79.32	28624	
2020-09	78.43	16152	
2020-12	75.82	14112	
2021-03	106.94	20446	
2021-06	63.94	16805	
2021-09	45.82	11842	
2021-12	50.47	12813	
2022-03	56.68	18137	
2022-06	54.06	16460	
2022-09	57.73	17409	
2022-12	48.49	13184	
2023-03	48.48	12949	
2023-06	41.36	12276	
2023-09	40.27	12044	
2023-12	40	13887	
2024-03	40.26	15647	
2024-06	45.46	18530	
2024-09	38.57	17289	
