month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2021-08	2.21	32.62	
2021-09	1.95	27.19	
2021-10	1.86	7.98	
2021-11	2.01	30.76	
2021-12	1.73	-11.37	
2022-01	1.47	-52.82	
2022-02	1.5	-57.09	
2022-03	1.49	-61.84	
2022-04	1.32	-77.3	
2022-05	1.34	-76.32	
2022-06	1.49	-59.48	
2022-07	1.46	-57.91	
2022-08	1.68	-13.43	
2022-09	1.49	-23.38	
2022-10	1.15	-60.21	
2022-11	1.3	-70.17	
2022-12	1.28	-74.03	
2023-01	1.27	-82.2	
2023-02	1.33	-55.71	
2023-03	1.56	-7.3	
2023-04	2.2	57.47	
2023-05	2.05	69.02	
2023-06	1.99	68.21	
2023-07	1.76	48.39	
2023-08	1.71	35.64	
2023-09	1.8	42.95	
2023-10	2	65.91	
2023-11	2.06	76.46	
2023-12	1.94	57.65	
2024-01	1.67	6.17	
2024-02	1.53	-27.55	
2024-03	1.87	4.98	
2024-04	1.75	-16.16	
2024-05	1.64	-60.98	
2024-06	1.77	-35.2	
2024-07	1.8	-7.3	
2024-08	1.8	16.15	
2024-09	1.59	-50.33	
2024-10	2.23	39.93	
2024-11	2.66	79.38	
2024-12	2.51	80.93	
2025-01	2.28	70.09	
2025-02	2.34	72.68	
