month	ct_avg_Tdx收盘价	人均持股
2008-06	23.78	1490.5	
2008-09	21.54	3705	
2008-12	24.26	3724	
2009-03	25.81	3006	
2009-06	26.31	2828	
2009-09	26.64	3247	
2009-12	34.54	3473	
2010-03	41.78	3495	
2010-06	43.7	4507	
2010-09	59.34	3209	
2010-12	36.36	2654	
2011-03	33.65	2604	
2011-06	23.54	10438	
2011-09	26.09	11652	
2011-12	23.8	11667	
2012-03	26.59	11636	
2012-06	13.31	18739	
2012-09	12.66	19073	
2012-12	13.23	20571	
2013-03	19.33	26361	
2013-09	25.43	35860	
2013-12	44.44	35688	
2014-03	50.57	55098	
2014-06	63.78	57337	
2014-09	39.62	73835	
2014-12	45.78	76125	
2015-03	53.45	62532	
2015-06	63.56	55813	
2015-09	61.5	81518	
2015-12	40.24	47587	
2016-03	38.67	52663	
2016-06	37.24	60213	
2016-09	36.98	116299	
2016-12	21.88	118673	
2017-03	19.89	100443	
2017-09	20.55	112047	
2017-12	19.77	168512	
2018-12	9.94	49713	
2019-03	9.86	43173	
2019-06	6.98	50521	
2019-09	8.4	45039	
2019-12	7.28	43760	
2020-03	8.49	38367	
2020-05	8.45	39392	
2020-06	8.44	40306	
2020-09	8.62	39003	
2020-12	7.8	40419.5	
2021-03	7.64	41892.5	
2021-05	7.57	44894	
2021-06	7.37	45008	
2021-07	7.42	44736	
2021-09	7.05	41709	
2021-11	6.6	40668	
2021-12	6.52	36407	
2022-01	6.99	36861	
2022-03	6.23	37651	
2022-05	5.66	38186	
2022-06	5.81	38915	
2022-07	5.89	40144	
2022-09	5.54	40740	
2022-10	5.43	41035.5	
2022-11	5.55	39056	
2022-12	5.78	38056	
2023-01	6.39	38150	
2023-02	6.21	39038	
2023-03	6.2	46975	
2023-04	6.45	55862.5	
2023-05	6.58	57627	
2023-06	7.23	59080.33	
2023-07	7.44	62057.67	
2023-08	7.18	64745.67	
2023-09	6.96	65257.75	
2023-10	6.8	65773	
2023-11	7.31	66993.67	
2023-12	8.14	70625.75	
2024-01	7.12	67384.33	
2024-02	6.84	67906	
2024-03	7.24	68440.75	
2024-04	6.99	68540.33	
2024-05	7.28	69181.33	
2024-06	7.51	71653.75	
2024-07	7.74	72093.67	
2024-08	7.53	73668.33	
2024-09	6.91	72842	
2024-10	7.35	70860.67	
2024-11	7.56	69235	
2024-12	7.45	67687.5	
2025-01	6.82	64085	
