month	ct_avg_前复权价格	股东人数
2001-12	1.55	29434	
2002-06	1.34	33629	
2002-09	1.32	34379	
2002-12	1.1	33082	
2003-03	1.11	32133	
2003-06	1.28	29902	
2003-09	1.4	27101	
2003-12	1.35	26947	
2004-03	1.78	22040	
2004-06	1.74	24391	
2004-09	2.07	21000	
2004-12	2.29	19610	
2005-03	3.17	14053	
2005-06	2.67	18312	
2005-09	2.81	20817	
2005-12	3.11	13468	
2006-03	3.55	16945	
2006-06	5.58	26827	
2006-09	5.75	19726	
2006-12	8.55	10788	
2007-03	12.78	11570	
2007-06	19.67	17408	
2007-09	21.99	51088	
2007-12	19.38	55560	
2008-03	19.4	46150	
2008-06	10.71	59583	
2008-09	7.61	59998	
2008-12	6.15	63250	
2009-03	7.45	73619	
2009-06	9.25	99426	
2009-09	9.77	65904	
2009-12	13.3	51786	
2010-03	13.49	55261	
2010-06	10.17	82908	
2010-09	10.04	92460	
2010-12	10.92	99699	
2011-03	14.88	62888	
2011-06	13.44	73801	
2011-09	12.45	84623	
2011-12	9.65	91500	
2012-03	11.1	96292	
2012-06	11.57	85187	
2012-09	10.51	81051	
2012-12	11.48	71370	
2013-03	13.57	61754	
2013-06	13.64	65134	
2013-09	13.89	67766	
2013-12	16.75	49892	
2014-03	14.24	60469	
2014-06	13.52	65167	
2014-09	14.98	58584	
2014-12	18.07	53071	
2015-03	19.87	78549	
2015-06	23.72	48221	
2015-09	15.71	49602	
2015-12	15.83	48603	
2016-03	12.79	52118	
2016-06	15.27	41396	
2016-09	18	37038	
2016-12	18.66	39247	
2017-03	24	45088	
2017-06	27.99	77879	
2017-09	43.79	103648	
2017-12	41.4	128648.5	
2018-03	41.42	128697	
2018-06	52.21	117733	
2018-09	49.32	126317	
2018-12	34.58	146378	
2019-03	46.48	123337	
2019-06	47.91	123478	
2019-09	54.48	106750	
2019-12	62.2	80973	
2020-03	53.09	115764	
2020-06	59.82	100523	
2020-09	89.46	101547	
2020-12	105.17	100183	
2021-02	161.03	133782	
2021-03	138.23	133654	
2021-06	137.19	169004	
2021-09	133.6	188820	
2021-12	125.46	176505	
2022-03	102.91	192829	
2022-06	114.88	159077	
2022-09	115.16	154496	
2022-12	117.07	135891	
2023-03	126.62	126763	
2023-06	115	128218	
2023-09	122.05	117320	
2023-12	99.98	141795	
2024-03	102.1	137200	
2024-06	113.99	124360	
2024-09	100	131694	
