month	ct_avg_Tdx收盘价	股东人数
2001-12	23.98	29434	
2002-06	12.9	33629	
2002-09	12.66	34379	
2002-12	10.56	33082	
2003-03	10.65	32133	
2003-06	12.15	29902	
2003-09	13.22	27101	
2003-12	12.71	26947	
2004-03	16.77	22040	
2004-06	9.56	24391	
2004-09	11.29	21000	
2004-12	12.55	19610	
2005-03	17.36	14053	
2005-06	11.16	18312	
2005-09	11.72	20817	
2005-12	13.04	13468	
2006-03	16.77	16945	
2006-06	14.83	26827	
2006-09	14.69	19726	
2006-12	21.85	10788	
2007-03	32.63	11570	
2007-06	50.17	17408	
2007-09	40.04	51088	
2007-12	35.29	55560	
2008-03	35.45	46150	
2008-06	19.24	59583	
2008-09	13.7	59998	
2008-12	11.05	63250	
2009-03	13.36	73619	
2009-06	16.17	99426	
2009-09	17.08	65904	
2009-12	23.3	51786	
2010-03	23.58	55261	
2010-06	17.48	82908	
2010-09	17.29	92460	
2010-12	18.76	99699	
2011-03	25.56	62888	
2011-06	17.47	73801	
2011-09	16.18	84623	
2011-12	12.52	91500	
2012-03	14.42	96292	
2012-06	14.39	85187	
2012-09	13.08	81051	
2012-12	14.28	71370	
2013-03	16.89	61754	
2013-06	16.36	65134	
2013-09	16.66	67766	
2013-12	20.09	49892	
2014-03	17.08	60469	
2014-06	15.84	65167	
2014-09	17.22	58584	
2014-12	20.69	53071	
2015-03	22.76	78549	
2015-06	26.85	48221	
2015-09	17.78	49602	
2015-12	17.92	48603	
2016-03	14.48	52118	
2016-06	17.08	41396	
2016-09	20.14	37038	
2016-12	20.87	39247	
2017-03	26.84	45088	
2017-06	25.64	77879	
2017-09	40.12	103648	
2017-12	37.78	128648.5	
2018-06	46.6	117733	
2018-09	43.48	126317	
2018-12	30.53	146378	
2019-03	41.04	123337	
2019-06	40.22	123478	
2019-09	45.73	106750	
2019-12	52.21	80973	
2020-03	44.56	115764	
2020-06	48.77	100523	
2020-09	72.94	101547	
2020-12	85.75	100183	
2021-02	131.29	133782	
2021-03	112.7	133654	
2021-06	110.54	169004	
2021-09	107.64	188820	
2021-12	101.08	176505	
2022-03	84.64	192829	
2022-06	89.68	159077	
2022-09	89.9	154496	
2022-12	91.38	135891	
2023-03	98.84	126763	
2023-06	88.14	128218	
2023-09	93.54	117320	
2023-12	76.62	141795	
2024-03	78.25	137200	
2024-06	85.75	124360	
2024-09	74.76	131694	
