month	ct_avg_Tdx收盘价	人均持股
2001-12	23.98	2718	
2002-06	12.9	3806	
2002-09	12.66	3723	
2002-12	10.56	3869	
2003-03	10.65	3983	
2003-06	12.15	4281	
2003-09	13.22	4723	
2003-12	12.71	4750	
2004-03	16.77	5808	
2004-06	9.56	8921	
2004-09	11.29	10362	
2004-12	12.55	11096	
2005-03	17.36	15484	
2005-06	11.16	15448	
2005-09	11.72	13589	
2005-12	13.04	21004	
2006-03	16.77	16694	
2006-06	14.83	17124	
2006-09	14.69	23289	
2006-12	21.85	42584	
2007-03	32.63	39706	
2007-06	50.17	33787	
2007-09	40.04	16118	
2007-12	35.29	14820	
2008-03	35.45	17842	
2008-06	19.24	13820	
2008-09	13.7	13724	
2008-12	11.05	13019	
2009-03	13.36	11185	
2009-06	16.17	16729	
2009-09	17.08	25239	
2009-12	23.3	32119	
2010-03	23.58	30100	
2010-06	17.48	20062	
2010-09	17.29	17990	
2010-12	18.76	16684	
2011-03	25.56	26449	
2011-06	17.47	29300	
2011-09	16.18	25553	
2011-12	12.52	23632	
2012-03	14.42	22456	
2012-06	14.39	25383	
2012-09	13.08	26679	
2012-12	14.28	30298	
2013-03	16.89	35015	
2013-06	16.36	33198	
2013-09	16.66	31909	
2013-12	20.09	43340	
2014-03	17.08	35759	
2014-06	15.84	33181	
2014-09	17.22	36910	
2014-12	20.69	40744	
2015-03	22.76	27528	
2015-06	26.85	44842	
2015-09	17.78	43594	
2015-12	17.92	44490	
2016-03	14.48	41489	
2016-06	17.08	52235	
2016-09	20.14	58382	
2016-12	20.87	55096	
2017-03	26.84	47958	
2017-06	25.64	33318	
2017-09	40.12	25035	
2017-12	37.78	20169.5	
2018-06	46.6	23222	
2018-09	43.48	21644	
2018-12	30.53	18678	
2019-03	41.04	11544	
2019-06	40.22	11530	
2019-09	45.73	13337	
2019-12	52.21	17583	
2020-03	44.56	12299	
2020-06	48.77	14163	
2020-09	72.94	14021	
2020-12	85.75	14212	
2021-02	131.29	10642	
2021-03	112.7	10653	
2021-06	110.54	8424	
2021-09	107.64	7540	
2021-12	101.08	8066	
2022-03	84.64	16283	
2022-06	89.68	19737	
2022-09	89.9	20323	
2022-12	91.38	23105	
2023-03	98.84	24769	
2023-06	88.14	24488	
2023-09	93.54	26762	
2023-12	76.62	22143	
2024-03	78.25	22884	
2024-06	85.75	25247	
2024-09	74.76	23841	
