month	ct_avg_Tdx收盘价	人均持股
2000-12	5.46	1866	
2001-12	3.88	4010	
2002-06	4.15	4418	
2002-09	4.33	4687	
2002-12	4.14	4871	
2003-03	5	5716	
2003-06	5.32	6146	
2003-09	5.39	6696	
2003-12	7.17	8999	
2004-03	7.4	8905	
2004-06	6.25	9372	
2004-09	6.27	11189	
2004-12	5.98	11404	
2005-03	6.16	12400	
2005-06	4.84	20280	
2005-09	4.4	25113	
2005-12	3.97	24198	
2006-03	4.22	23955	
2006-06	4.26	24266	
2006-09	4.15	23715	
2006-12	7.54	40156	
2007-03	9.2	16939	
2007-06	11.27	10951	
2007-09	18.73	11305	
2007-12	16.53	7451	
2008-03	14.39	7153	
2008-06	10.62	7282	
2008-09	6.57	23311	
2008-12	5.17	21012	
2009-03	5.59	20200	
2009-06	6.76	25639	
2009-09	6.97	23517	
2009-12	9	31362	
2010-03	8.15	26018	
2010-06	6.11	25166	
2010-09	6.65	27567	
2010-12	6.48	28889	
2011-03	7.1	29146	
2011-06	6.09	28517	
2011-09	5.13	28413	
2011-12	4.82	29106	
2012-03	5.03	30011	
2012-06	4.53	30552	
2012-09	4.54	31494	
2012-12	4.78	31764	
2013-03	4.87	32633	
2013-06	4.36	32408	
2013-09	4.39	33040	
2013-12	4.2	33962	
2014-03	3.68	34159	
2014-06	3.96	35334	
2014-09	4.43	36651	
2014-12	6.35	41761	
2015-03	6.74	39716	
2015-06	9.03	43336	
2015-09	5.86	45376	
2015-12	5.56	50745	
2016-03	5.3	53591	
2016-06	5.09	54585	
2016-12	6.53	55889	
2017-03	6.71	39655	
2017-06	6.48	43276	
2017-09	7.74	47736	
2017-12	8.51	57215	
2018-03	9.14	59254	
2018-06	8.59	62886	
2018-09	7.59	64000	
2018-12	6.73	62338	
2019-03	7.43	63060	
2019-06	6.45	64826	
2019-09	6.08	65565	
2019-12	5.61	62198	
2020-03	5.03	62105	
2020-06	4.64	62659	
2020-09	5.01	64054	
2020-12	6.05	70466	
2021-03	8.47	73246	
2021-06	7.65	71267	
2021-09	10.33	81192	
2021-12	7.17	68746	
2022-03	7.01	71702	
2022-06	6.43	68179	
2022-09	5.39	66888	
2022-12	5.71	71629	
2023-03	6.5	77675	
2023-06	5.76	76175	
2023-09	6.29	81285	
2023-12	6.07	80563	
2024-03	6.62	87287	
2024-06	6.75	88992	
2024-09	5.88	84967	
