month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2023-11	2.17	-76.21	
2023-12	2.11	-87.8	
2024-01	2.08	-92	
2024-02	2.15	-73.34	
2024-03	2.15	-63.86	
2024-04	2.2	-39.24	
2024-05	2.21	-16.96	
2024-06	2.13	-42.81	
2024-07	2.15	-49.81	
2024-08	2.21	5.11	
2024-09	2.1	-47.23	
2024-10	2.35	31.6	
2024-11	2.41	70.75	
2024-12	2.35	70.62	
2025-01	2.22	34.17	
