month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2010-07	4.42	0.49	
2010-08	4.49	0.5	
2010-09	4.24	0.4	
2010-10	4.75	0.55	
2010-11	4.54	0.46	
2010-12	4.22	0.35	
2011-01	4.13	0.31	
2011-02	4.14	0.29	
2011-03	4.47	0.38	
2011-04	4.76	0.46	
2011-05	4.5	0.36	
2011-06	4.26	0.28	
2011-07	4.22	0.25	
2011-08	3.88	0.14	
2011-09	3.77	0.1	
2011-10	3.86	0.12	
2011-11	3.88	0.11	
2011-12	3.85	0.1	
2012-01	4.09	0.16	
2012-02	4.2	0.17	
2012-03	4.03	0.12	
2012-04	3.94	0.08	
2012-05	3.92	0.07	
2012-06	3.74	0.01	
2012-07	3.45	-0.07	
2012-08	3.41	-0.09	
2012-09	3.4	-0.1	
2012-10	3.51	-0.07	
2012-11	3.44	-0.1	
2012-12	3.95	0.03	
2013-01	4.68	0.21	
2013-02	4.68	0.2	
2013-03	4.38	0.11	
2013-04	4.22	0.06	
2013-05	4.51	0.12	
2013-06	4.27	0.05	
2013-07	4	-0.02	
2013-08	3.89	-0.05	
2013-09	4.05	-0.02	
2013-10	3.92	-0.06	
2013-11	3.93	-0.06	
2013-12	3.91	-0.07	
2014-01	3.86	-0.09	
2014-02	3.76	-0.12	
2014-03	3.53	-0.18	
2014-04	3.68	-0.15	
2014-05	3.65	-0.16	
2014-06	3.71	-0.15	
2014-07	3.9	-0.11	
2014-08	4.19	-0.05	
2014-09	4.12	-0.07	
2014-10	4.05	-0.1	
2014-11	4.27	-0.05	
2014-12	5.61	0.24	
2015-01	6.03	0.32	
2015-02	5.67	0.23	
2015-03	5.89	0.27	
2015-04	6.78	0.45	
2015-05	7.04	0.49	
2015-06	7.57	0.59	
2015-07	7.34	0.53	
2015-08	7.04	0.46	
2015-09	7.08	0.46	
2015-10	7.37	0.52	
2015-11	7.36	0.51	
2015-12	7.17	0.48	
2016-01	6.44	0.33	
2016-02	6.01	0.25	
2016-03	6.46	0.35	
2016-04	6.92	0.45	
2016-05	7.15	0.51	
2016-06	7.12	0.5	
2016-07	7.21	0.52	
2016-08	7.6	0.6	
2016-09	7.68	0.62	
2016-10	7.63	0.6	
2016-11	7.72	0.61	
2016-12	7.72	0.6	
2017-01	7.76	0.6	
2017-02	8.07	0.64	
2017-03	8.04	0.62	
2017-04	7.99	0.59	
2017-05	8.6	0.7	
2017-06	9.7	0.89	
2017-07	10.81	1.08	
2017-08	11.38	1.16	
2017-09	11.44	1.14	
2017-10	11.73	1.16	
2017-11	12.47	1.27	
2017-12	12.65	1.27	
2018-01	13.92	1.46	
2018-02	14.05	1.44	
2018-03	13.25	1.27	
2018-04	12.66	1.14	
2018-05	12.95	1.16	
2018-06	12.36	1.04	
2018-07	11.91	0.94	
2018-08	12.53	1.02	
2018-09	12.91	1.05	
2018-10	13.13	1.05	
2018-11	13.01	1.01	
2018-12	12.39	0.89	
2019-01	12.13	0.83	
2019-02	13.71	1.04	
2019-03	14.43	1.12	
2019-04	15.9	1.29	
2019-05	15.17	1.15	
2019-06	16.15	1.26	
2019-07	16.59	1.28	
2019-08	16.29	1.2	
2019-09	16.17	1.15	
2019-10	16.74	1.19	
2019-11	17.17	1.21	
2019-12	17.23	1.18	
2020-01	17.86	1.22	
2020-02	16.41	1.01	
2020-03	15.31	0.85	
2020-04	15.22	0.81	
2020-05	15.86	0.86	
2020-06	15.98	0.85	
2020-07	17.35	0.98	
2020-08	17.93	1.01	
2020-09	17.93	0.98	
2020-10	18.94	1.06	
2020-11	20.95	1.23	
2020-12	21.04	1.2	
2021-01	23.66	1.43	
2021-02	25.89	1.59	
2021-03	24.83	1.44	
2021-04	24.6	1.37	
2021-05	26.57	1.5	
2021-06	26.69	1.46	
2021-07	24.48	1.22	
2021-08	24.5	1.18	
2021-09	25.17	1.2	
2021-10	26.2	1.25	
2021-11	25.37	1.14	
2021-12	24.9	1.06	
2022-01	24.43	0.99	
2022-02	25.12	1.01	
2022-03	22.4	0.77	
2022-04	21.29	0.65	
2022-05	18.79	0.44	
2022-06	19.65	0.49	
2022-07	18.83	0.41	
2022-08	17.32	0.29	
2022-09	17.57	0.29	
2022-10	15.15	0.1	
2022-11	16.06	0.16	
2022-12	18.56	0.33	
2023-01	20.32	0.44	
2023-02	19.58	0.37	
2023-03	18.1	0.25	
2023-04	17.54	0.2	
2023-05	17.38	0.18	
2023-06	17.03	0.15	
2023-07	17.35	0.16	
2023-08	17.68	0.18	
2023-09	17.81	0.18	
2023-10	17.25	0.13	
2023-11	16.32	0.07	
2023-12	14.9	-0.03	
2024-01	15.83	0.02	
2024-02	17.13	0.1	
2024-03	17.11	0.09	
2024-04	17.93	0.14	
2024-05	19.09	0.2	
2024-06	18.32	0.14	
2024-07	18.92	0.17	
2024-08	18.74	0.15	
2024-09	18.36	0.12	
2024-10	22.2	0.34	
2024-11	21.59	0.3	
2024-12	21.89	0.3	
2025-01	22.66	0.34	
