month	ct_avg_Tdx收盘价	人均持股
1994-12	5.95	126223	
1995-12	3.63	126584	
1996-12	12.95	33147	
1997-12	13.99	37971	
1998-12	8.69	40441	
1999-12	10.47	32159	
2000-12	14.02	33681	
2001-12	13.27	9511	
2002-06	11.9	9755	
2002-09	11.61	9623	
2002-12	9.82	9390	
2003-03	11.23	8980	
2003-06	6.57	16238	
2003-09	6.05	16852	
2003-12	6.17	19430	
2004-03	8.44	19448	
2004-06	4.84	16903	
2004-09	5.18	9621	
2004-12	5.06	19793	
2005-03	5.62	33585	
2005-06	4.6	50802	
2005-09	3.71	47660	
2005-12	4.12	58442	
2006-03	5.7	66801	
2006-06	5.48	55709	
2006-09	7.18	66744	
2006-12	13.52	65703	
2007-03	15.91	63746	
2007-06	19.13	40340	
2007-09	31.47	29210	
2007-12	30.15	27342	
2008-03	23.17	23751	
2008-06	13.3	41026	
2008-09	5.96	40379	
2008-12	7.21	40091	
2009-03	8.04	42638	
2009-06	11.56	42388	
2009-09	11.01	34714	
2009-12	11.23	32534	
2010-03	9.45	33962	
2010-06	7.15	37171	
2010-09	8.28	43769	
2010-12	8.47	48722	
2011-03	8.4	52314	
2011-06	8.09	59110	
2011-09	7.76	55507	
2011-12	7.38	56674	
2012-03	8.3	58383	
2012-06	9.05	61053	
2012-09	8.2	61144	
2012-12	9.35	70011	
2013-03	11.04	76889	
2013-06	10.37	77264	
2013-09	9.64	75351	
2013-12	8.29	70822	
2014-03	7.56	72573	
2014-06	8.25	1314955468	
2014-09	9.37	93925391	
2014-12	11.72	87663698	
2015-03	12.7	77350322	
2015-06	14.74	73053082	
2015-09	13.31	62616927	
2015-12	19.69	65747773	
2016-09	24.34	52598219	
2016-12	22.72	48702054	
2017-02	20.71	48702054	
2017-03	20.9	46962695	
2017-06	22.48	39847135	
2017-07	24.33	39847135	
2017-09	26.31	37570156	
2017-12	30.05	34604091	
2018-03	32.3	37570156	
2018-06	26.73	36526541	
2018-07	23.41	36526541	
2018-09	23.76	32072085	
2018-12	25.17	31308464	
2019-02	27.5	29885352	
2019-03	28.74	29885352	
2019-06	27.7	35065477	
2019-07	29.67	34303184	
2019-09	26.59	34303184	
2019-12	29.55	33573329	
2020-03	28.34	78897323	
2020-06	26.15	40287993	
2020-09	28.19	38643585	
2020-12	28.9	38643585	
2021-03	31.67	37870713	
2021-06	25.14	36414147	
2021-09	20.42	34567033	
2021-12	19.63	33354155	
2022-03	18.2	31686447	
2022-06	18.23	25015616	
2022-09	17.63	24133075	
2022-12	18.94	24759908	
2023-03	15.94	29033065	
2023-06	14.34	30226205	
2023-09	13.54	30226205	
2023-12	10.62	30226205	
2024-02	9.82	17501	
2024-03	9.42	30226205	
2024-06	7.61	31077647	
2024-07	6.9	16587	
2024-09	6.96	31077647	
