month	ct_avg_Tdx收盘价	股东人数
1994-12	5.95	443	
1995-12	3.63	508	
1996-12	12.95	2134	
1997-12	13.99	2650	
1998-12	8.69	2737	
1999-12	10.47	3786	
2000-12	14.02	3615	
2001-12	13.27	12801	
2002-06	11.9	12481	
2002-09	11.61	12652	
2002-12	9.82	12967	
2003-03	11.23	13558	
2003-06	6.57	14996	
2003-09	6.05	14450	
2003-12	6.17	12533	
2004-03	8.44	12521	
2004-06	4.84	14406	
2004-09	5.18	189208	
2004-12	5.06	12303	
2005-03	5.62	10876	
2005-06	4.6	10785	
2005-09	3.71	11496	
2005-12	4.12	9375	
2006-03	5.7	8202	
2006-06	5.48	9835	
2006-09	7.18	8209	
2006-12	13.52	8339	
2007-03	15.91	8595	
2007-06	19.13	20373	
2007-09	31.47	28136	
2007-12	30.15	30058	
2008-03	23.17	34603	
2008-06	13.3	32052	
2008-09	5.96	32565	
2008-12	7.21	32799	
2009-03	8.04	30840	
2009-06	11.56	31022	
2009-09	11.01	37880	
2009-12	11.23	40418	
2010-03	9.45	38718	
2010-06	7.15	35376	
2010-09	8.28	30043	
2010-12	8.47	26989	
2011-03	8.4	25136	
2011-06	8.09	22246	
2011-09	7.76	23690	
2011-12	7.38	23202	
2012-03	8.3	22523	
2012-06	9.05	21538	
2012-09	8.2	21506	
2012-12	9.35	18782	
2013-03	11.04	17102	
2013-06	10.37	17019	
2013-09	9.64	17451	
2013-12	8.29	18567	
2014-03	7.56	18119	
2014-06	8.25	1	
2014-09	9.37	14	
2014-12	11.72	15	
2015-03	12.7	17	
2015-06	14.74	18	
2015-09	13.31	21	
2015-12	19.69	20	
2016-09	24.34	25	
2016-12	22.72	27	
2017-02	20.71	27	
2017-03	20.9	28	
2017-06	22.48	33	
2017-07	24.33	33	
2017-09	26.31	35	
2017-12	30.05	38	
2018-03	32.3	35	
2018-06	26.73	36	
2018-07	23.41	36	
2018-09	23.76	41	
2018-12	25.17	42	
2019-02	27.5	44	
2019-03	28.74	44	
2019-06	27.7	45	
2019-07	29.67	46	
2019-09	26.59	46	
2019-12	29.55	47	
2020-03	28.34	20	
2020-06	26.15	47	
2020-09	28.19	49	
2020-12	28.9	49	
2021-03	31.67	50	
2021-06	25.14	52	
2021-09	20.42	55	
2021-12	19.63	57	
2022-03	18.2	60	
2022-06	18.23	76	
2022-09	17.63	79	
2022-12	18.94	77	
2023-03	15.94	76	
2023-06	14.34	73	
2023-09	13.54	73	
2023-12	10.62	73	
2024-02	9.82	555213	
2024-03	9.42	73	
2024-06	7.61	71	
2024-07	6.9	585818	
2024-09	6.96	71	
