month	ct_avg_前复权价格	人均持股
2020-09	0.99	1195	
2020-12	1.78	1168	
2021-03	2.25	896	
2021-06	3.6	1029	
2021-09	2.96	2183	
2021-12	2.99	1725	
2022-03	2.42	2019	
2022-06	2.93	2375	
2022-09	2.73	2668	
2022-12	2.84	2720.67	
2023-01	3.19	2914	
2023-02	3.2	2904.33	
2023-03	2.91	2794.67	
2023-04	2.94	2869.67	
2023-05	2.65	2628	
2023-06	2.39	2382.33	
2023-07	2.45	2495.33	
2023-08	2.36	2238	
2023-09	2.27	2248	
2023-10	1.94	3520.33	
2023-11	1.75	3326	
2023-12	1.51	3155.75	
2024-01	1.62	2655.33	
2024-02	1.7	2870	
2024-03	1.81	2778	
2024-04	1.62	3127	
2024-05	1.64	3684.67	
2024-06	1.43	3548.25	
2024-07	1.26	3557	
2024-08	1.22	3610	
2024-09	1.13	3560.67	
2024-10	1.67	3393.67	
2024-11	1.66	3369.67	
2024-12	1.58	3403	
2025-01	1.31	3425.33	
