month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2016-09	29.27	-0.2	
2016-10	29.82	-0.18	
2016-11	29.99	-0.18	
2016-12	27.83	-0.23	
2017-01	27.21	-0.25	
2017-02	29.9	-0.18	
2017-03	34.03	-0.07	
2017-04	32.37	-0.12	
2017-05	29.62	-0.2	
2017-06	32.93	-0.11	
2017-07	43.49	0.17	
2017-08	54.02	0.45	
2017-09	55.15	0.47	
2017-10	52.1	0.38	
2017-11	63.28	0.66	
2017-12	61.8	0.6	
2018-01	61.81	0.59	
2018-02	51.16	0.31	
2018-03	59.06	0.51	
2018-04	57.12	0.45	
2018-05	43.7	0.11	
2018-06	34.26	-0.13	
2018-07	32	-0.19	
2018-08	29.65	-0.25	
2018-09	29.92	-0.24	
2018-10	23.06	-0.41	
2018-11	24.7	-0.37	
2018-12	24.4	-0.37	
2019-01	28.16	-0.27	
2019-02	31.57	-0.18	
2019-03	36.84	-0.04	
2019-04	35.1	-0.07	
2019-05	29.81	-0.2	
2019-06	30.45	-0.18	
2019-07	33.41	-0.09	
2019-08	31.87	-0.13	
2019-09	33.98	-0.07	
2019-10	33.72	-0.07	
2019-11	33.44	-0.08	
2019-12	33.34	-0.08	
2020-01	36.17	0	
2020-02	38.94	0.07	
2020-03	38.08	0.05	
2020-04	34.62	-0.05	
2020-05	33.26	-0.08	
2020-06	34.73	-0.04	
2020-07	38.31	0.05	
2020-08	37.77	0.04	
2020-09	35.49	-0.02	
2020-10	36.06	-0.01	
2020-11	40.5	0.11	
2020-12	38.59	0.05	
2021-01	45.87	0.24	
2021-02	49.22	0.33	
2021-03	46.98	0.26	
2021-04	48.67	0.3	
2021-05	55.51	0.47	
2021-06	61.99	0.63	
2021-07	61.91	0.61	
2021-08	54.75	0.42	
2021-09	51.75	0.33	
2021-10	54.44	0.4	
2021-11	56.88	0.46	
2021-12	52.64	0.35	
2022-01	48.36	0.24	
2022-02	48.5	0.24	
2022-03	47.49	0.22	
2022-04	40.4	0.04	
2022-05	35.85	-0.08	
2022-06	39.68	0.02	
2022-07	41.84	0.08	
2022-08	39.8	0.03	
2022-09	35.42	-0.08	
2022-10	33.31	-0.14	
2022-11	34.17	-0.12	
2022-12	33.27	-0.14	
2023-01	35.6	-0.09	
2023-02	47.63	0.22	
2023-03	52.71	0.34	
2023-04	60.78	0.53	
2023-05	60.11	0.5	
2023-06	70.47	0.75	
2023-07	66.02	0.62	
2023-08	58.8	0.44	
2023-09	49.97	0.23	
2023-10	50.5	0.24	
2023-11	47.54	0.17	
2023-12	47.16	0.16	
2024-01	40.78	0	
2024-02	44.37	0.08	
2024-03	50.62	0.23	
2024-04	45.78	0.11	
2024-05	43.23	0.05	
2024-06	42.61	0.03	
2024-07	39.56	-0.05	
2024-08	35.12	-0.16	
2024-09	35.38	-0.15	
2024-10	45.23	0.08	
2024-11	49.05	0.17	
2024-12	50.99	0.21	
2025-01	46.78	0.1	
