month	ct_avg_前复权价格	人均持股
2008-06	0.96	583.5	
2008-09	0.84	1446	
2008-12	0.82	1725	
2009-03	1.03	1664	
2009-06	1.12	1394	
2009-09	1.19	4342	
2009-12	1.68	6914	
2010-03	1.81	7156	
2010-06	1.72	6602	
2010-09	1.94	5649	
2010-12	2.63	7096	
2011-03	2.62	6818	
2011-06	2.03	12806	
2011-09	2.06	12254	
2011-12	1.44	11512	
2012-03	1.47	11027	
2012-06	1.26	11334	
2012-09	1.02	11571	
2012-12	0.98	11919	
2013-03	1.13	11940	
2013-06	1.12	14343	
2013-09	1.4	16056	
2013-12	1.21	14512	
2014-03	1.24	13012	
2014-06	1.32	13329	
2014-09	1.67	12553	
2014-12	1.74	14246	
2015-03	2.21	17631	
2015-06	3.12	17038	
2015-09	2.37	22908	
2015-12	2.97	22271	
2016-03	2.45	22457	
2016-06	2.58	22788	
2016-09	2.73	21609	
2016-12	2.39	18748	
2017-03	2.36	18462	
2017-06	2.43	19018	
2017-09	2.49	17317	
2017-12	2.21	18751	
2018-03	2.29	19028	
2018-06	2.13	20753	
2018-09	2.2	21705	
2018-10	2.05	21810	
2018-11	2.03	21058	
2018-12	2.02	21060	
2019-02	2.11	21063	
2019-03	2.18	20208	
2019-05	2.04	21439	
2019-06	2.04	20225	
2019-07	1.98	20361	
2019-08	2	20361	
2019-09	2.05	20808	
2019-10	1.99	21063	
2019-12	2	20625	
2020-02	2.33	22623	
2020-03	2.42	24183	
2020-04	2.25	25451	
2020-05	2.4	24942	
2020-06	2.47	26273	
2020-07	2.63	25451	
2020-08	3	27161.5	
2020-09	2.83	22724.5	
2020-11	2.99	18334	
2020-12	3	19464	
2021-01	3.21	19229	
2021-02	3.67	19321	
2021-03	3.34	18699.67	
2021-04	3.12	15758	
2021-06	3.87	15824	
2021-08	4.15	15659	
2021-09	4.39	16730.33	
2021-10	3.92	14714	
2021-11	4	12930	
2021-12	4.01	11923	
2022-01	3.9	11853	
2022-02	3.78	12191	
2022-03	3.41	12323	
2022-06	3.21	12893	
2022-09	3.62	14469	
2022-11	4.06	16883.67	
2022-12	4.46	18892.67	
2023-01	4.84	20319	
2023-02	5.49	19290.5	
2023-03	5.11	19682.33	
2023-04	4.54	18974.5	
2023-05	4.49	18974.5	
2023-06	4.62	19234	
2023-07	4.9	19395	
2023-08	4.23	23095	
2023-09	3.84	22055	
2023-10	3.24	29895	
2023-11	3.33	29715.67	
2023-12	3.11	27577	
2024-01	2.69	27066	
2024-02	2.36	27066	
2024-03	2.47	24493	
2024-04	2.39	20820	
2024-05	2.3	19805	
2024-06	2.07	20275.5	
2024-07	1.79	20300	
2024-08	1.76	20646.67	
2024-09	1.79	20742.33	
2024-10	2.13	21560.33	
2024-11	2.21	20655	
2024-12	2.15	20150	
2025-01	1.93	20475	
