month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2016-01	6.14	-52.07	
2016-02	5.39	-63.04	
2016-03	5.51	-68.59	
2016-04	5.56	-70.89	
2016-05	5.26	-89.16	
2016-06	5.29	-83.08	
2016-07	5.2	-91.62	
2016-08	5.31	-74.73	
2016-09	5.32	-58.93	
2016-10	5.35	-50.11	
2016-11	5.49	-18.99	
2016-12	5.48	-4.95	
2017-01	5.67	23.56	
2017-02	5.83	40.57	
2017-03	5.69	39.17	
2017-04	5.71	55.21	
2017-05	5.54	17.63	
2017-06	5.57	22.61	
2017-07	5.48	-23.05	
2017-08	5.44	-45.26	
2017-09	5.42	-54.72	
2017-10	5.35	-72.53	
2017-11	5.38	-70.82	
2017-12	5.4	-66.79	
2018-01	5.63	-27.96	
2018-02	5.72	31.55	
2018-03	5.65	45.66	
2018-04	5.31	-3.22	
2018-05	5.2	-45.58	
2018-06	4.91	-70.71	
2018-07	4.86	-85.47	
2018-08	4.73	-90.14	
2018-09	5	-67.43	
2018-10	4.77	-79.17	
2018-11	4.65	-90.5	
2018-12	4.62	-88.75	
2019-01	4.55	-92.17	
2019-02	4.63	-80.3	
2019-03	4.88	-32.95	
2019-04	4.93	-4.21	
2019-05	4.61	-47.9	
2019-06	4.54	-59.82	
2019-07	4.34	-79.19	
2019-08	4.07	-93.99	
2019-09	4.02	-94.15	
2019-10	3.91	-97.12	
2019-11	3.82	-96.64	
2019-12	3.89	-80.72	
2020-01	3.92	-70.93	
2020-02	3.54	-94.96	
2020-03	3.45	-97.56	
2020-04	3.42	-90.69	
2020-05	3.5	-75.4	
2020-06	3.52	-65.67	
2020-07	3.6	-46.31	
2020-08	3.6	-40.77	
2020-09	3.82	10.27	
2020-10	3.67	6.14	
2020-11	3.73	22.11	
2020-12	3.66	13.9	
2021-01	3.57	-23.97	
2021-02	3.48	-45.65	
2021-03	3.67	-20.07	
2021-04	3.74	28.32	
2021-05	3.64	-2.03	
2021-06	3.63	-17.47	
2021-07	3.36	-58.73	
2021-08	3.36	-79.42	
2021-09	3.94	-23.97	
2021-10	3.72	4.74	
2021-11	3.72	16.88	
2021-12	3.93	65.29	
2022-01	3.78	66.87	
2022-02	3.73	52.12	
2022-03	3.53	11.61	
2022-04	3.4	-31.58	
2022-05	3.44	-41.26	
2022-06	3.5	-46.51	
2022-07	3.63	-18.16	
2022-08	3.55	-33.7	
2022-09	3.43	-34.95	
2022-10	3.34	-77.34	
2022-11	3.47	-63.68	
2022-12	3.4	-62.54	
2023-01	3.54	-37.84	
2023-02	3.7	15.18	
2023-03	3.79	51.01	
2023-04	4.05	69.41	
2023-05	4.82	96.12	
2023-06	4.99	94.02	
2023-07	4.97	88.78	
2023-08	4.68	67.43	
2023-09	4.37	41.96	
2023-10	4.29	20.75	
2023-11	4.53	38.19	
2023-12	4.64	49.57	
2024-01	5.08	71.63	
2024-02	5.46	81.06	
2024-03	5.98	90.77	
2024-04	6.52	91.56	
2024-05	6.41	88.26	
2024-06	6.9	97.41	
2024-07	7.15	89.83	
2024-08	6.53	63.92	
2024-09	6.03	34.63	
2024-10	6.15	26.64	
2024-11	5.71	-8.76	
2024-12	5.73	-22.04	
2025-01	5.3	-45.83	
