month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2022-03	3.53	0.72	-0.32	11.61	-0.16	13.67	
2022-04	3.4	0.7	-0.34	-31.58	-0.19	-21.15	
2022-05	3.44	0.71	-0.33	-41.26	-0.17	-33.79	
2022-06	3.5	0.72	-0.31	-46.51	-0.16	-32.48	
2022-07	3.63	0.75	-0.28	-18.16	-0.13	-2.51	
2022-08	3.55	0.73	-0.3	-33.7	-0.15	-20.96	
2022-09	3.43	0.71	-0.32	-34.95	-0.17	-16.67	
2022-10	3.34	0.69	-0.33	-77.34	-0.2	-71.99	
2022-11	3.47	0.72	-0.3	-63.68	-0.16	-55.48	
2022-12	3.4	0.7	-0.32	-62.54	-0.19	-57.75	
2023-01	3.54	0.73	-0.28	-37.84	-0.15	-29.69	
2023-02	3.7	0.76	-0.25	15.18	-0.12	23.35	
2023-03	3.79	0.78	-0.23	51.01	-0.09	60.48	
2023-04	4.05	0.84	-0.17	69.41	-0.01	69.5	
2023-05	4.82	1	-0.01	96.12	0.18	93.12	
2023-06	4.99	1.03	0.03	94.02	0.21	93.17	
2023-07	4.97	1.03	0.03	88.78	0.21	88.18	
2023-08	4.68	0.97	-0.02	67.43	0.14	67.59	
2023-09	4.37	0.9	-0.08	41.96	0.06	42.32	
2023-10	4.29	0.89	-0.08	20.75	0.06	22.37	
2023-11	4.53	0.93	-0.02	38.19	0.12	36.85	
2023-12	4.64	0.96	0.01	49.57	0.16	49.7	
2024-01	5.08	1.05	0.11	71.63	0.27	70.58	
2024-02	5.46	1.13	0.21	81.06	0.36	81.25	
2024-03	5.98	1.23	0.33	90.77	0.48	91.37	
2024-04	6.52	1.35	0.45	91.56	0.63	91.61	
2024-05	6.41	1.32	0.42	88.26	0.59	86.7	
2024-06	6.9	1.42	0.53	97.41	0.69	96.94	
2024-07	7.15	1.51	0.58	89.83	0.8	92.12	
2024-08	6.53	1.39	0.44	63.92	0.64	71.59	
2024-09	6.03	1.28	0.33	34.63	0.51	41.68	
2024-10	6.15	1.31	0.35	26.64	0.52	35.42	
2024-11	5.71	1.22	0.25	-8.76	0.42	-0.38	
2024-12	5.73	1.22	0.25	-22.04	0.4	-14.41	
2025-01	5.3	1.13	0.16	-45.83	0.3	-38.99	
