month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2018-12	3.69	0.34	
2019-01	3.82	0.37	
2019-02	4.36	0.55	
2019-03	4.64	0.63	
2019-04	4.72	0.64	
2019-05	4.04	0.39	
2019-06	4	0.37	
2019-07	4.15	0.41	
2019-08	4.03	0.35	
2019-09	4.26	0.42	
2019-10	4.23	0.4	
2019-11	4.51	0.47	
2019-12	5.01	0.62	
2020-01	5.37	0.72	
2020-02	5.16	0.63	
2020-03	4.71	0.47	
2020-04	5.15	0.59	
2020-05	6.08	0.85	
2020-06	6.13	0.84	
2020-07	8.3	1.43	
2020-08	9.55	1.73	
2020-09	9.58	1.68	
2020-10	11.06	2.01	
2020-11	14.12	2.71	
2020-12	15.15	2.83	
2021-01	16.81	3.08	
2021-02	17.78	3.14	
2021-03	14.96	2.38	
2021-04	14.76	2.23	
2021-05	15.67	2.32	
2021-06	17.02	2.49	
2021-07	20.47	3.04	
2021-08	20.38	2.87	
2021-09	17.78	2.27	
2021-10	16.48	1.95	
2021-11	17.94	2.13	
2021-12	18.26	2.09	
2022-01	17.28	1.85	
2022-02	16.59	1.68	
2022-03	15.2	1.4	
2022-04	14.11	1.19	
2022-05	15.39	1.34	
2022-06	17.37	1.58	
2022-07	16.88	1.46	
2022-08	16.7	1.38	
2022-09	15.33	1.15	
2022-10	16.92	1.32	
2022-11	18.54	1.49	
2022-12	18.44	1.43	
2023-01	18.13	1.34	
2023-02	19.29	1.43	
2023-03	18.87	1.33	
2023-04	17.49	1.12	
2023-05	15.62	0.86	
2023-06	16.26	0.91	
2023-07	18.08	1.09	
2023-08	18.21	1.07	
2023-09	18.37	1.05	
2023-10	17.07	0.88	
2023-11	16.67	0.81	
2023-12	16.28	0.75	
2024-01	15.11	0.6	
2024-02	16.23	0.7	
2024-03	16.98	0.75	
2024-04	16	0.63	
2024-05	16.24	0.63	
2024-06	14.45	0.44	
2024-07	13.17	0.3	
2024-08	11.58	0.13	
2024-09	12.25	0.18	
2024-10	15.8	0.51	
2024-11	16.08	0.52	
2024-12	16.31	0.52	
2025-01	15.83	0.46	
