month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2009-01	3.12	-0.64	
2009-02	4.14	-0.52	
2009-03	4.24	-0.5	
2009-04	4.76	-0.43	
2009-05	5.34	-0.36	
2009-06	5.97	-0.27	
2009-07	7.05	-0.13	
2009-08	6.19	-0.23	
2009-09	6.47	-0.19	
2009-10	6.84	-0.13	
2009-11	8.36	0.07	
2009-12	7.64	-0.02	
2010-01	7.6	-0.01	
2010-02	7.29	-0.03	
2010-03	7.62	0.04	
2010-04	7.56	0.05	
2010-05	5.92	-0.16	
2010-06	5.46	-0.22	
2010-07	5.27	-0.23	
2010-08	5.88	-0.14	
2010-09	6.48	-0.04	
2010-10	6.61	-0.01	
2010-11	6.92	0.05	
2010-12	6.74	0.04	
2011-01	6.14	-0.05	
2011-02	7	0.1	
2011-03	7.73	0.22	
2011-07	10.86	0.72	
2011-08	8.97	0.43	
2011-09	8.06	0.29	
2011-10	7.91	0.27	
2011-11	7.91	0.27	
2011-12	5.8	-0.06	
2012-01	4.82	-0.22	
2012-05	9.01	0.47	
2012-06	8.83	0.44	
2012-07	9.13	0.48	
2012-08	8.86	0.44	
2012-09	9.81	0.59	
2012-10	9.33	0.51	
2012-11	8.23	0.33	
2012-12	9.76	0.57	
2013-01	10.42	0.66	
2013-02	11.08	0.75	
2013-03	11.65	0.83	
2013-04	10.22	0.59	
2013-05	10.42	0.62	
2013-06	9.43	0.47	
2013-07	8.45	0.31	
2013-08	8.67	0.35	
2013-09	8.69	0.34	
2013-10	8.58	0.31	
2013-11	8.37	0.27	
2013-12	8.27	0.25	
2014-01	8.34	0.25	
2014-02	8.75	0.3	
2014-03	8.34	0.23	
2014-04	8.16	0.2	
2014-05	7.78	0.14	
2014-06	7.79	0.13	
2014-07	9.72	0.4	
2014-08	10.65	0.51	
2014-09	12.16	0.71	
2014-10	12.56	0.73	
2014-11	12.74	0.74	
2014-12	15.87	1.12	
2015-01	15.88	1.09	
2015-02	16.61	1.14	
2015-03	18.15	1.3	
2015-04	19.07	1.36	
2015-05	21.78	1.63	
2015-06	23.22	1.74	
2015-07	15.82	0.84	
2015-08	14.47	0.66	
2015-09	10.07	0.15	
2015-10	11.51	0.3	
2015-11	12.93	0.44	
2015-12	13.03	0.44	
2016-01	9.45	0.04	
2016-02	9.7	0.06	
2016-03	12.15	0.32	
2016-04	13.68	0.48	
2016-11	16.2	0.74	
2016-12	14.55	0.56	
2017-01	15.53	0.67	
2017-02	16.93	0.8	
2017-03	15.53	0.65	
2017-04	14.59	0.55	
2017-05	12.92	0.37	
2017-06	12.6	0.33	
2017-07	13.23	0.39	
2017-08	14.1	0.47	
2017-09	14.49	0.5	
2017-10	13.96	0.44	
2017-11	13.07	0.34	
2017-12	13.24	0.34	
2018-01	14.47	0.45	
2018-02	14.53	0.44	
2018-03	14.53	0.42	
2018-04	15.59	0.51	
2018-05	16.1	0.54	
2018-06	10.7	0.02	
2018-07	9.63	-0.09	
2018-08	8.79	-0.17	
2018-09	7.98	-0.25	
2018-10	7.76	-0.27	
2018-11	8.45	-0.21	
2018-12	9.23	-0.14	
2019-01	10.05	-0.06	
2019-02	10.88	0.01	
2019-03	10.84	0	
2019-04	10.53	-0.03	
2019-05	9.69	-0.11	
2019-06	12.94	0.19	
2019-07	13.95	0.27	
2019-08	15.39	0.39	
2019-09	15.59	0.4	
2019-10	13.32	0.19	
2019-11	12.04	0.07	
2019-12	12.9	0.14	
2020-01	13.79	0.21	
2020-02	13.13	0.14	
2020-03	13.75	0.19	
2020-04	16.19	0.39	
2020-05	16.07	0.37	
2020-06	15.36	0.3	
2020-07	17.31	0.45	
2020-08	16.97	0.41	
2020-09	14.45	0.2	
2020-10	10.5	-0.13	
2020-11	9.81	-0.19	
2020-12	8.89	-0.27	
2021-01	8.16	-0.33	
2021-02	8.79	-0.28	
2021-03	9.12	-0.25	
2021-04	9.1	-0.25	
2021-05	10.47	-0.14	
2021-06	10.16	-0.17	
2021-07	9.69	-0.21	
2021-08	8.83	-0.28	
2021-09	9.11	-0.25	
2021-10	9.15	-0.25	
2021-11	9.31	-0.24	
2021-12	8.93	-0.27	
2022-01	8.77	-0.28	
2022-02	8.89	-0.27	
2022-03	9.42	-0.22	
2022-04	9.73	-0.2	
2022-05	9.3	-0.23	
2022-06	10.13	-0.17	
2022-07	9.83	-0.19	
2022-08	11.59	-0.05	
2022-09	12.43	0.02	
2022-10	13.29	0.08	
2022-11	14.75	0.2	
2022-12	11.47	-0.07	
2023-01	11.76	-0.05	
2023-02	12.2	-0.02	
2023-03	12.75	0.02	
2023-04	12.99	0.04	
2023-05	12.49	-0.01	
2023-06	12.12	-0.04	
2023-07	12.85	0.02	
2023-08	13.63	0.08	
2023-09	14.45	0.15	
2023-10	14.15	0.12	
2023-11	13.57	0.08	
2023-12	14.83	0.18	
2024-01	14.23	0.14	
2024-02	14.57	0.17	
2024-03	16.43	0.32	
2024-04	18.98	0.53	
2024-05	19.07	0.54	
2024-06	17.12	0.38	
2024-07	17.61	0.41	
2024-08	17.3	0.38	
2024-09	16.38	0.3	
2024-10	18.33	0.45	
2024-11	16.86	0.32	
2024-12	16.31	0.27	
2025-01	16.51	0.28	
2025-02	17.45	0.35	
