month	ct_avg_Tdx收盘价	股东人数
2015-06	31.31	605414.5	
2015-09	19.02	310977	
2015-12	24.22	250019	
2016-03	18.47	245610	
2016-06	17.59	243285	
2016-09	18.11	228792	
2016-12	19.04	227070	
2017-03	18.75	208853	
2017-06	19.68	188037	
2017-09	21.4	256	
2017-12	19.37	207	
2018-03	17.62	207	
2018-06	15.82	200	
2018-09	14.67	197	
2018-12	15.98	197	
2019-03	19.85	176284	
2019-06	16.92	193	
2019-09	18.39	190	
2019-12	17.75	191	
2020-06	16.45	186	
2020-12	17.91	184	
2021-03	16.3	184	
2021-06	17.12	181	
2021-09	18.44	181	
2021-12	17.42	180	
2022-03	15.89	178	
2022-06	15	178	
2022-09	14.42	176	
2022-12	13.93	174	
2023-03	14.3	172	
2023-06	14.63	172	
2023-09	14.73	168	
2023-12	14.85	167	
2024-03	14.71	167	
2024-06	13.94	166	
2024-09	14.55	166	
