month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2017-12	0.78	0.32	
2018-01	0.73	0.24	
2018-02	0.68	0.15	
2018-03	0.63	0.09	
2018-04	0.59	0.02	
2018-05	0.59	0.02	
2018-06	0.55	-0.05	
2018-07	0.53	-0.09	
2018-08	0.57	0	
2018-09	0.56	-0.02	
2018-10	0.53	-0.07	
2018-11	0.51	-0.11	
2018-12	0.5	-0.12	
2019-01	0.49	-0.14	
2019-02	0.51	-0.11	
2019-03	0.58	0.02	
2019-04	0.58	0.02	
2019-05	0.49	-0.14	
2019-06	0.49	-0.14	
2019-07	0.49	-0.14	
2019-08	0.46	-0.19	
2019-09	0.48	-0.14	
2019-10	0.46	-0.18	
2019-11	0.44	-0.21	
2019-12	0.45	-0.2	
2020-01	0.46	-0.18	
2020-02	0.42	-0.25	
2020-03	0.45	-0.2	
2020-04	0.43	-0.23	
2020-05	0.43	-0.23	
2020-06	0.42	-0.25	
2020-07	0.48	-0.14	
2020-08	0.48	-0.14	
2020-09	0.47	-0.18	
2020-10	0.45	-0.21	
2020-11	0.46	-0.19	
2020-12	0.46	-0.19	
2021-01	0.51	-0.11	
2021-02	0.51	-0.11	
2021-03	0.54	-0.07	
2021-04	0.57	-0.02	
2021-05	0.53	-0.09	
2021-06	0.51	-0.12	
2021-07	0.57	-0.02	
2021-08	0.69	0.17	
2021-09	0.89	0.51	
2021-10	0.72	0.2	
2021-11	0.66	0.1	
2021-12	0.7	0.15	
2022-01	0.69	0.13	
2022-02	0.72	0.16	
2022-03	0.69	0.11	
2022-04	0.63	0.02	
2022-05	0.61	-0.03	
2022-06	0.61	-0.03	
2022-07	0.6	-0.05	
2022-08	0.56	-0.12	
2022-09	0.56	-0.12	
2022-10	0.54	-0.16	
2022-11	0.56	-0.14	
2022-12	0.59	-0.09	
2023-01	0.58	-0.11	
2023-02	0.6	-0.08	
2023-03	0.67	0.02	
2023-04	0.75	0.14	
2023-05	0.74	0.12	
2023-06	0.71	0.08	
2023-07	0.72	0.09	
2023-08	0.71	0.08	
2023-09	0.67	0.03	
2023-10	0.62	-0.03	
2023-11	0.58	-0.09	
2023-12	0.55	-0.13	
2024-01	0.56	-0.1	
2024-02	0.59	-0.05	
2024-03	0.61	0	
2024-04	0.61	0	
2024-05	0.6	-0.02	
2024-06	0.57	-0.07	
2024-07	0.57	-0.07	
2024-08	0.59	-0.02	
2024-09	0.51	-0.15	
2024-10	0.62	0.03	
2024-11	0.64	0.07	
2024-12	0.62	0.03	
2025-01	0.58	-0.03	
