month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2012-10	29.9	-65.81	
2012-11	27.33	-90.4	
2012-12	27.83	-80.06	
2013-01	32.87	-27.32	
2013-02	38.07	28.27	
2013-03	36.7	63.22	
2013-04	33.87	51.49	
2013-05	41.25	82.14	
2013-06	38.87	78.36	
2013-07	37.62	68.4	
2013-08	37.1	56.7	
2013-09	34.96	22.93	
2013-10	33.5	4.07	
2013-11	29.32	-38.14	
2013-12	30.45	-47.71	
2014-01	30.94	-50.77	
2014-02	43.04	11.5	
2014-03	48.77	52.38	
2014-04	47.94	72.79	
2014-08	55.17	81.25	
2014-09	57.24	89.93	
2014-10	54.29	83.68	
2014-11	52.12	71.88	
2014-12	45.87	42.93	
2015-01	46	27.3	
2015-02	57.06	55.58	
2015-03	55.46	66.11	
2015-04	67.27	85.29	
2015-05	67.11	89.82	
2015-06	79.53	94.47	
2015-07	53.04	44.95	
2015-08	67.82	64.2	
2015-09	58.89	27.59	
2015-10	72.18	70.01	
2015-11	133.36	91.33	
2015-12	148.27	91.38	
2016-01	117.4	76.43	
2016-02	142.27	86.55	
2016-03	136.49	77.45	
2016-04	166.72	92.68	
2016-05	162.49	89.46	
2016-06	44.27	8.21	
2016-07	43.06	-32.91	
2016-08	39.02	-56.45	
2016-09	38.18	-70.3	
2016-10	39.73	-66.13	
2016-11	38.37	-81.98	
2016-12	35.46	-92.33	
2017-01	34.02	-92.06	
2017-02	34.99	-82.29	
2017-03	39.23	-44.95	
2017-04	47.94	-13.19	
2017-05	45.53	-0.89	
2017-06	49.23	26.42	
2017-07	61.6	50.89	
2017-08	65.65	63.78	
2017-09	73.32	73.34	
2017-10	69.74	61.35	
2017-11	69.44	59.33	
2017-12	58.14	19.23	
2018-01	53.27	-9.74	
2018-02	55.69	-21.49	
2018-03	60.33	-7.18	
2018-04	53.9	-38.54	
2018-05	58	-21.17	
2018-06	48.81	-45.76	
2018-07	48.78	-57.02	
2018-08	39.75	-81.83	
2018-09	35.94	-86.84	
2018-10	30.13	-92.46	
2018-11	30.35	-88.35	
2018-12	32.66	-78.35	
2019-01	29.24	-92.33	
2019-02	32.98	-72.14	
2019-03	37.17	-33.16	
2019-04	35.09	-25.51	
2019-05	28	-64.33	
2019-06	26	-80.78	
2019-07	25.35	-83.81	
2019-08	23.64	-95.41	
2019-09	25.41	-78.48	
2019-10	25.9	-63.59	
2019-11	28.08	-39.79	
2019-12	28.62	-19.98	
2020-01	32.16	15.68	
2020-02	32.69	24.6	
2020-03	26.96	13.39	
2020-04	19.29	-49.53	
2020-05	17.58	-72.22	
2020-06	23.95	-57.46	
2020-07	26.32	-26.05	
2020-08	24.74	-24.7	
2020-09	20.99	-65.38	
2020-10	20.98	-74.61	
2020-11	24.14	-48.56	
2020-12	32.48	21.89	
2021-01	57.8	68.44	
2021-02	51.77	74.17	
2021-03	40.24	67.86	
2021-04	39.53	58.84	
2021-05	52.05	84.92	
2021-06	56.37	87.33	
2021-07	78.67	95.7	
2021-08	112.19	98.3	
2021-09	113.76	90.89	
2021-10	97.51	75.34	
2021-11	104.52	78.98	
2021-12	107.15	78.88	
2022-01	90.43	39.8	
2022-02	91.12	24.27	
2022-03	86.85	11.37	
2022-04	72.15	-20.35	
2022-05	88.27	-9.02	
2022-06	114.33	38.65	
2022-07	127.83	60.25	
2022-08	115.94	60.56	
2022-09	108.71	48.47	
2022-10	96.99	7.37	
2022-11	96.5	-10.84	
2022-12	85.02	-35.71	
2023-01	86.9	-38	
2023-02	87.89	-38.62	
2023-03	77.41	-66.03	
2023-04	77.49	-68.52	
2023-05	76.3	-78.35	
2023-06	73.56	-91.97	
2023-07	68.17	-97.79	
2023-08	61.62	-98.84	
2023-09	56.69	-98.3	
2023-10	54.94	-95.38	
2023-11	53.19	-95.98	
2023-12	53.39	-88.73	
2024-01	55.15	-68.06	
2024-02	46.39	-92.48	
2024-03	51.16	-84.86	
2024-04	46.68	-94.37	
2024-05	38.17	-98.39	
2024-06	32.72	-99.72	
2024-07	28.73	-97.94	
2024-08	26.89	-98.62	
2024-09	27.05	-91.02	
2024-10	34.92	-56.35	
2024-11	39.06	-26.45	
2024-12	35.72	-26.14	
2025-01	32.16	-44.2	
2025-02	30.69	-55.36	
