month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2015-01	2.1	0.35	
2015-02	1.91	0.22	
2015-03	1.99	0.26	
2015-04	2.29	0.44	
2015-05	2.24	0.4	
2015-06	2.27	0.42	
2015-07	2.33	0.45	
2015-08	2.06	0.27	
2015-09	2.02	0.25	
2015-10	2.05	0.27	
2015-11	2.09	0.28	
2015-12	2.09	0.28	
2016-01	1.93	0.18	
2016-02	1.82	0.12	
2016-03	1.93	0.19	
2016-04	1.93	0.2	
2016-05	1.91	0.19	
2016-06	1.98	0.23	
2016-07	2.04	0.27	
2016-08	2.11	0.31	
2016-09	2.11	0.31	
2016-10	2.1	0.3	
2016-11	2.11	0.3	
2016-12	2.13	0.31	
2017-01	2.14	0.3	
2017-02	2.2	0.33	
2017-03	2.24	0.35	
2017-04	2.29	0.37	
2017-05	2.37	0.41	
2017-06	2.44	0.44	
2017-07	2.6	0.52	
2017-08	2.85	0.66	
2017-09	2.94	0.69	
2017-10	3.08	0.76	
2017-11	2.99	0.69	
2017-12	2.96	0.66	
2018-01	3.35	0.86	
2018-02	3.51	0.93	
2018-03	3.18	0.74	
2018-04	2.96	0.61	
2018-05	2.94	0.58	
2018-06	2.77	0.48	
2018-07	2.76	0.47	
2018-08	2.83	0.5	
2018-09	2.84	0.49	
2018-10	2.87	0.49	
2018-11	2.81	0.46	
2018-12	2.77	0.42	
2019-01	2.78	0.42	
2019-02	2.94	0.48	
2019-03	2.92	0.47	
2019-04	3.02	0.5	
2019-05	2.92	0.45	
2019-06	3.01	0.48	
2019-07	3.06	0.49	
2019-08	2.96	0.43	
2019-09	2.98	0.43	
2019-10	3.13	0.49	
2019-11	3.17	0.5	
2019-12	3.16	0.48	
2020-01	3.19	0.48	
2020-02	2.95	0.37	
2020-03	2.84	0.31	
2020-04	2.78	0.27	
2020-05	2.77	0.26	
2020-06	2.83	0.28	
2020-07	2.93	0.32	
2020-08	2.86	0.28	
2020-09	2.81	0.25	
2020-10	2.85	0.26	
2020-11	2.88	0.26	
2020-12	2.9	0.27	
2021-01	2.89	0.25	
2021-02	2.99	0.29	
2021-03	3.11	0.33	
2021-04	3.07	0.3	
2021-05	2.99	0.26	
2021-06	2.96	0.24	
2021-07	2.87	0.2	
2021-08	2.77	0.15	
2021-09	2.83	0.17	
2021-10	2.84	0.17	
2021-11	2.79	0.14	
2021-12	2.79	0.13	
2022-01	2.83	0.15	
2022-02	2.88	0.16	
2022-03	2.78	0.11	
2022-04	2.87	0.14	
2022-05	2.81	0.12	
2022-06	2.83	0.11	
2022-07	2.84	0.11	
2022-08	2.78	0.08	
2022-09	2.79	0.08	
2022-10	2.77	0.07	
2022-11	2.67	0.02	
2022-12	2.74	0.05	
2023-01	2.77	0.05	
2023-02	2.76	0.05	
2023-03	2.85	0.07	
2023-04	2.98	0.12	
2023-05	3.19	0.19	
2023-06	3.14	0.17	
2023-07	3.13	0.16	
2023-08	3.18	0.17	
2023-09	3.17	0.17	
2023-10	3.27	0.2	
2023-11	3.27	0.19	
2023-12	3.26	0.19	
2024-01	3.36	0.22	
2024-02	3.62	0.3	
2024-03	3.61	0.29	
2024-04	3.7	0.32	
2024-05	3.72	0.31	
2024-06	3.77	0.32	
2024-07	4.18	0.46	
2024-08	4.4	0.52	
2024-09	4.15	0.42	
2024-10	4.44	0.51	
2024-11	4.4	0.48	
2024-12	4.7	0.57	
2025-01	4.88	0.62	
2025-02	4.91	0.61	
