month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2008-02	23.38	1.1	0.02	89.05	0.57	88.51	
2008-03	23.07	1.09	0.02	83.46	0.54	83.12	
2008-04	16.49	0.78	-0.26	30.45	0.11	30.61	
2008-05	20.6	0.97	-0.05	49.64	0.39	49.51	
2008-06	17.15	0.81	-0.19	21.87	0.17	21.7	
2008-07	16.5	0.78	-0.19	-15.02	0.15	-15.37	
2008-08	13.35	0.63	-0.32	-45.37	-0.06	-46.34	
2008-09	9.29	0.44	-0.51	-64	-0.33	-64	
2008-10	8.12	0.38	-0.56	-75.63	-0.42	-76.92	
2008-11	7.1	0.34	-0.61	-85.31	-0.46	-85.09	
2008-12	8.97	0.43	-0.49	-73.02	-0.31	-71.86	
2009-01	9.8	0.46	-0.43	-57.32	-0.25	-57.38	
2009-02	13	0.62	-0.23	-30	0.03	-29.78	
2009-03	12.59	0.6	-0.24	-16.32	0.02	-16.44	
2009-04	13.34	0.63	-0.17	9.01	0.09	8.38	
2009-05	13.29	0.63	-0.16	15.39	0.11	14.83	
2009-06	13.88	0.66	-0.1	41.11	0.18	39.57	
2009-07	14.41	0.68	-0.05	50.7	0.21	50.39	
2009-08	13.45	0.64	-0.1	41.24	0.16	40.01	
2009-09	13.31	0.63	-0.09	30.19	0.15	26.58	
2009-10	12.9	0.61	-0.1	3.63	0.13	1.79	
2009-11	13.56	0.64	-0.04	16.16	0.19	10.8	
2009-12	14.04	0.67	0	35.99	0.26	34.78	
2010-01	15.92	0.75	0.15	70.53	0.42	67.77	
2010-02	15.54	0.74	0.12	76.21	0.4	73.33	
2010-03	15.54	0.74	0.13	83.5	0.4	81.02	
2010-04	17.69	0.84	0.29	95.7	0.56	93.15	
2010-05	15.47	0.73	0.13	70.49	0.35	67.9	
2010-06	13.75	0.65	0.01	22.13	0.2	20.96	
2010-07	12.26	0.58	-0.1	-15.1	0.07	-15.75	
2010-08	13.88	0.66	0.03	-9.74	0.22	-9.42	
2010-09	14.27	0.68	0.06	-7.9	0.26	-4.09	
2010-10	15.05	0.72	0.12	7.92	0.33	13.62	
2010-11	16.14	0.77	0.21	50.36	0.43	52.6	
2010-12	15.65	0.75	0.17	53.92	0.39	56.37	
2011-01	13.7	0.65	0.03	-3.57	0.2	-2.55	
2011-02	17.08	0.82	0.29	33.67	0.49	36.31	
2011-03	16.97	0.81	0.28	63.28	0.47	63.94	
2011-04	16.61	0.79	0.25	65.23	0.44	67.11	
2011-05	15.06	0.72	0.13	32.35	0.31	31.93	
2011-06	13.75	0.66	0.04	-12.77	0.18	-13.99	
2011-07	14.09	0.67	0.07	-26.45	0.2	-27.68	
2011-08	12.58	0.6	-0.05	-59.28	0.07	-57.8	
2011-09	12.06	0.58	-0.09	-71.09	0.04	-71.26	
2011-10	12.06	0.58	-0.08	-83.93	0.04	-83.87	
2011-11	12.84	0.62	-0.03	-68.95	0.11	-66.36	
2011-12	11.36	0.55	-0.14	-91.48	-0.04	-87.91	
2012-01	10.82	0.52	-0.18	-93.93	-0.09	-91.9	
2012-02	11.83	0.57	-0.1	-75.36	0	-72.77	
2012-03	12.17	0.58	-0.07	-53.37	0.02	-48.98	
2012-04	13.38	0.64	0.02	-16.91	0.12	-11.5	
2012-05	13.64	0.66	0.03	9.54	0.14	14.94	
2012-06	13.32	0.64	0.01	23.21	0.1	26.21	
2012-07	11.57	0.56	-0.12	-30.28	-0.03	-25.04	
2012-08	11.72	0.57	-0.11	-43.13	-0.02	-40.96	
2012-09	11.69	0.56	-0.11	-46.88	-0.03	-45.8	
2012-10	11.23	0.54	-0.14	-67.41	-0.07	-67.11	
2012-11	10.54	0.51	-0.19	-74.11	-0.12	-70.01	
2012-12	9.86	0.48	-0.24	-74.66	-0.17	-74.7	
2013-01	11.16	0.54	-0.14	-58.35	-0.08	-55.8	
2013-02	11.94	0.58	-0.08	-25.3	-0.02	-24.05	
2013-03	11.95	0.58	-0.08	-7.57	-0.02	-5.61	
2013-04	11.89	0.57	-0.08	-5.76	-0.03	-3.42	
2013-05	13.35	0.65	0.03	39.61	0.1	43.63	
2013-07	16.49	0.7	0.27	57.14	0.17	69.61	
2013-08	23.14	1.12	0.77	77.11	0.84	94.07	
2013-09	25.65	1.24	0.94	92.76	1.03	93.94	
2013-10	26.5	1.28	0.98	91.12	1.06	90.77	
2013-11	26.27	1.25	0.94	85.78	0.98	81.97	
2013-12	24.91	1.21	0.82	78.94	0.89	76.02	
2014-01	29.87	1.45	1.15	94.05	1.23	94.17	
2014-02	32.09	1.55	1.28	95.42	1.31	94.81	
2014-03	28.23	1.37	0.98	75	1.01	74.74	
2014-04	23.83	1.15	0.65	36.44	0.67	34.4	
2014-05	22.75	1.1	0.56	11.38	0.59	9.11	
2014-06	26.04	1.27	0.77	29.69	0.81	28.88	
2014-07	25.75	1.25	0.73	16.07	0.76	16.92	
2014-08	28.08	1.36	0.86	46.43	0.89	44.13	
2014-09	30.73	1.49	1.01	71.22	1.04	71.81	
2014-10	31.04	1.51	1	77.88	1.04	77.88	
2014-11	29.5	1.43	0.88	65.22	0.91	63.79	
2014-12	29	1.41	0.82	50.89	0.86	49.61	
2015-05	37.17	1.49	1.29	66.52	0.82	30.31	
2015-06	93.31	4.53	4.47	93.41	4.27	95.92	
2015-07	74.39	3.61	3.2	87.34	3.06	87.34	
2015-08	67.67	3.29	2.69	75.72	2.62	75.81	
2015-09	58.41	2.89	2.1	59.92	2.11	61.03	
2015-10	88.63	3.66	3.52	79.29	2.81	77.78	
2015-11	108.12	5.25	4.25	90.73	4.2	89.24	
2015-12	99.45	4.83	3.63	82.41	3.6	83.54	
2016-01	72.78	3.54	2.3	54.29	2.28	51.12	
2016-02	67.05	3.26	1.97	26.67	1.96	26.37	
2016-03	59.17	2.88	1.57	0.54	1.57	-2.91	
2016-04	61.95	3.01	1.64	-12.59	1.64	-14.78	
2016-05	57.18	2.78	1.39	-36.27	1.4	-38.01	
2016-06	59.45	2.89	1.44	-38.26	1.45	-39.91	
2016-07	63.25	3.07	1.55	-17.14	1.56	-15.09	
2016-08	64.46	3.13	1.55	-7.45	1.57	-10.25	
2016-09	62.09	3.02	1.41	-24.51	1.44	-22.37	
2016-10	63.13	3.07	1.42	-2.12	1.42	-1.73	
2016-11	61.92	3.01	1.34	-11.89	1.33	-11.57	
2016-12	58.87	2.86	1.19	-35.71	1.18	-37.46	
2017-01	55.36	2.69	1.03	-74.8	1.02	-80.41	
2017-02	55.56	2.7	1.01	-78.72	0.99	-78.72	
2017-03	56.2	2.76	1.01	-70.31	1	-66.89	
2017-04	51.78	2.67	0.83	-86.1	0.91	-72.67	
2017-05	51.82	2.52	0.8	-91.79	0.77	-90.13	
2017-06	55	2.67	0.89	-69.6	0.85	-73.17	
2017-07	56.43	2.75	0.9	-49.79	0.88	-44.69	
2017-08	55.85	2.72	0.85	-55.16	0.83	-49.5	
2017-09	58.77	2.86	0.92	-4	0.89	3.53	
2017-10	61.83	3.01	0.98	24.53	0.97	31.93	
2017-11	68.29	3.32	1.15	49.59	1.13	57.02	
2017-12	66.46	3.23	1.06	54.85	1.04	67.3	
2018-01	67.51	3.29	1.06	68.79	1.04	77.43	
2018-02	58.19	2.83	0.75	24.29	0.74	29.35	
2018-03	67.53	3.29	1	65.83	0.98	68.51	
2018-04	75.66	3.68	1.2	87.6	1.18	87.8	
2018-05	71.28	3.47	1.04	81.78	1.02	81.21	
2018-06	62.88	3.06	0.77	37.01	0.76	36.03	
2018-07	47.36	3.07	0.32	-19.4	0.74	6.13	
2018-08	45.86	3.14	0.27	-52.72	0.75	6.02	
2018-09	42.37	2.9	0.16	-78.85	0.6	-33.97	
2018-10	35.21	2.38	-0.04	-91.83	0.31	-67.41	
2018-11	36.16	2.47	-0.02	-88.84	0.34	-75.61	
2018-12	33.59	2.3	-0.09	-97.86	0.24	-90.8	
2019-01	32.09	2.19	-0.14	-92.98	0.16	-88.15	
2019-02	36.34	2.48	-0.03	-73.69	0.31	-71.13	
2019-03	43.66	2.99	0.16	-35.59	0.56	-18.71	
2019-04	43.6	2.98	0.15	-14.63	0.54	12.2	
2019-05	35.53	2.62	-0.07	-40.31	0.34	-18.88	
2019-06	26.73	2.57	-0.3	-70.21	0.3	-35.62	
2019-07	29.32	2.82	-0.24	-67.74	0.42	1.55	
2019-08	33.98	3.27	-0.12	-58.03	0.62	51.79	
2019-09	34.23	3.29	-0.12	-50.13	0.6	67.41	
2019-10	30.66	2.95	-0.21	-70.59	0.43	51.34	
2019-11	28.49	2.74	-0.27	-80.06	0.31	9.74	
2019-12	29.98	2.88	-0.24	-68.63	0.36	6.66	
2020-01	33.23	3.2	-0.16	-33.59	0.5	56.25	
2020-02	40.87	3.93	0.03	5.4	0.81	81.92	
2020-03	40.95	3.94	0.03	33.77	0.79	83.93	
2020-04	37.57	3.61	-0.06	35.42	0.61	78.1	
2020-05	41.02	3.94	0.01	59.28	0.74	85.96	
2020-06	40.36	3.88	-0.01	68.17	0.69	79.24	
2020-07	45.73	4.39	0.11	83.85	0.88	89.63	
2020-08	40.84	4.22	-0.01	71.43	0.77	84.1	
