month	ct_avg_Tdx收盘价	人均持股
2021-04	53.1	856	
2021-06	97.18	4016	
2021-09	199.61	4561	
2021-12	264.54	3013	
2022-03	257.46	2627	
2022-06	227.42	7953	
2022-09	414.56	5983	
2022-12	334.81	4983	
2023-03	289.7	3432	
2023-06	137.14	6210	
2023-09	80.88	3781	
2023-12	65.63	2641	
2024-03	95.68	3234	
2024-06	71.81	16486	
2024-09	89.36	18647	
