month	ct_avg_前复权价格	人均持股
2021-04	1.13	856	
2021-06	2.06	4016	
2021-09	4.26	4561	
2021-12	5.65	3013	
2022-03	5.56	2627	
2022-06	6.82	7953	
2022-09	12.44	5983	
2022-12	10.05	4983	
2023-03	8.69	3432	
2023-06	7.48	6210	
2023-09	4.41	3781	
2023-12	3.58	2641	
2024-03	5.22	3234	
2024-06	5.6	16486	
2024-09	6.97	18647	
