month	ct_avg_Tdx收盘价	股东人数
2021-04	53.1	49838	
2021-06	97.18	10624	
2021-09	199.61	9355	
2021-12	264.54	14163	
2022-03	257.46	16240	
2022-06	227.42	10215	
2022-09	414.56	13577	
2022-12	334.81	16304	
2023-03	289.7	23670	
2023-06	137.14	23548	
2023-09	80.88	38673	
2023-12	65.63	55359	
2024-03	95.68	45212	
2024-06	71.81	36522	
2024-09	89.36	32647	
