month	ct_avg_前复权价格	股东人数
2004-12	4.1	1705	
2005-06	3.63	825	
2005-12	4.31	683	
2006-03	5.46	514	
2006-06	5.07	472	
2006-09	5.57	465	
2006-12	7.62	405	
2007-03	8.7	392	
2007-06	10.86	369	
2007-09	10.36	361	
2007-12	10.62	331	
2008-03	12.11	326	
2008-06	11.8	323	
2008-09	7.68	330	
2008-12	7.1	335	
2009-03	9.03	334	
2009-06	9.81	333	
2009-09	13.12	329	
2009-12	14.77	326	
2010-03	15.49	330	
2010-06	11.45	356	
2010-09	14.28	366	
2010-12	14.81	364	
2011-03	16.82	349	
2011-06	14.21	352	
2011-09	12.02	359	
2011-12	11.27	352	
2012-03	11.14	354	
2012-06	9.52	356	
2012-09	6.84	361	
2012-12	5.69	363	
2013-03	7.56	359	
2013-06	8.13	357	
2013-09	10.98	360	
2013-12	9.68	356	
2014-03	8.44	355	
2014-06	8.59	362	
2014-09	9.66	360	
2014-12	11.65	364	
2015-03	13.83	358	
2015-06	19.5	339	
2015-09	13.07	347	
2015-12	14.77	351	
2016-03	12.07	353	
2016-06	11.08	366	
2016-09	12.05	366	
2016-12	13.06	368	
2017-03	13.38	371	
2017-06	17.76	364	
2017-09	20.81	348	
2017-12	29.55	331	
2018-03	25.95	330	
2018-06	18.92	329	
2018-09	14.94	319	
2018-12	16.34	318	
2019-03	23.92	318	
2019-06	25.5	316	
2019-09	27.42	319	
2019-12	26.88	321	
2020-03	38.34	313	
2020-06	32.24	321	
2020-09	28.49	319	
2020-12	27.1	315	
2021-02	26.26	606351	
2021-03	24.91	313	
2021-06	26.9	312	
2021-07	28.81	250582	
2021-08	30.18	310.67	
2021-09	28.08	308.67	
2021-10	27.96	306	
2021-11	26.16	304.67	
2021-12	26.6	305.33	
2022-01	27.21	305	
2022-02	24.49	304	
2022-03	20.98	304.67	
2022-04	18.86	305	
2022-05	19.63	304	
2022-06	20.92	304.33	
2022-07	20.58	305.67	
2022-08	20.49	305	
2022-09	19.62	307	
2022-10	18.13	310.67	
2022-11	20.01	312.33	
2022-12	21.68	310	
2023-01	22.14	309	
2023-02	24.06	309	
2023-03	27.97	307	
2023-04	29.52	307.33	
2023-05	27.56	307.33	
2023-06	33.17	307.33	
2023-07	35.6	304	
2023-08	30.85	304.67	
2023-09	28.39	306.33	
2023-10	25.12	305.67	
2023-11	22.76	303	
2023-12	21.82	303.33	
2024-01	20.27	306	
2024-02	20.67	305.5	
2024-03	24.42	304	
2024-04	23.56	304.67	
2024-05	23.5	304	
2024-06	23.25	303.33	
2024-07	23.83	301.33	
2024-08	22.09	298.33	
2024-09	21.64	298.33	
2024-10	26.81	298	
2024-11	27.86	296.67	
2024-12	29.94	133419	
2025-01	34.15	397991.33	
