month	ct_avg_Tdx收盘价	股东人数
2004-12	27.32	1705	
2005-06	24.18	825	
2005-12	28.01	683	
2006-03	28.74	514	
2006-06	26.7	472	
2006-09	29.07	465	
2006-12	39.77	405	
2007-03	45.45	392	
2007-06	56.55	369	
2007-09	53.91	361	
2007-12	54.79	331	
2008-03	63	326	
2008-06	61.4	323	
2008-09	28.4	330	
2008-12	26.27	335	
2009-03	33.42	334	
2009-06	29.3	333	
2009-09	37.01	329	
2009-12	41.54	326	
2010-03	43.72	330	
2010-06	29.28	356	
2010-09	26.62	366	
2010-12	27.59	364	
2011-03	31.35	349	
2011-06	26.47	352	
2011-09	18.47	359	
2011-12	17.31	352	
2012-03	17.11	354	
2012-06	14.62	356	
2012-09	10.32	361	
2012-12	8.59	363	
2013-03	11.41	359	
2013-06	12.26	357	
2013-09	16.57	360	
2013-12	14.6	356	
2014-03	12.74	355	
2014-06	12.97	362	
2014-09	14.54	360	
2014-12	17.55	364	
2015-03	20.82	358	
2015-06	29.36	339	
2015-09	16.26	347	
2015-12	18.38	351	
2016-03	14.85	353	
2016-06	13.78	366	
2016-09	14.75	366	
2016-12	15.97	368	
2017-03	16.75	371	
2017-06	21.73	364	
2017-09	25.46	348	
2017-12	36.15	331	
2018-03	31.74	330	
2018-06	17.71	329	
2018-09	18.27	319	
2018-12	19.99	318	
2019-03	29.26	318	
2019-06	31.2	316	
2019-09	33.55	319	
2019-12	32.89	321	
2020-03	46.9	313	
2020-06	39.44	321	
2020-09	34.67	319	
2020-12	32.98	315	
2021-02	31.96	606351	
2021-03	30.37	313	
2021-06	32.74	312	
2021-07	35.07	250582	
2021-08	36.65	310.67	
2021-09	33.98	308.67	
2021-10	33.84	306	
2021-11	31.66	304.67	
2021-12	32.2	305.33	
2022-01	32.93	305	
2022-02	29.64	304	
2022-03	26.27	304.67	
2022-04	22.82	305	
2022-05	23.5	304	
2022-06	25	304.33	
2022-07	24.59	305.67	
2022-08	24.49	305	
2022-09	23.44	307	
2022-10	21.67	310.67	
2022-11	23.92	312.33	
2022-12	25.91	310	
2023-01	26.45	309	
2023-02	28.75	309	
2023-03	33.42	307	
2023-04	35.27	307.33	
2023-05	32.68	307.33	
2023-06	39.14	307.33	
2023-07	42	304	
2023-08	36.4	304.67	
2023-09	33.49	306.33	
2023-10	29.64	305.67	
2023-11	26.86	303	
2023-12	25.74	303.33	
2024-01	23.92	306	
2024-02	24.39	305.5	
2024-03	28.81	304	
2024-04	27.8	304.67	
2024-05	27.73	304	
2024-06	27.43	303.33	
2024-07	27.73	301.33	
2024-08	25.43	298.33	
2024-09	24.92	298.33	
2024-10	30.87	298	
2024-11	32.08	296.67	
2024-12	34.47	133419	
2025-01	39.32	397991.33	
