month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2006-06	1.58	0.48	
2006-07	1.72	0.59	
2006-08	1.43	0.32	
2006-09	1.59	0.46	
2006-10	1.75	0.61	
2006-11	1.79	0.63	
2006-12	2.33	1.1	
2007-01	3.25	1.85	
2007-02	3.57	2.05	
2007-03	3.92	2.27	
2007-04	5.11	3.12	
2007-05	6.34	3.91	
2007-06	5.59	3.17	
2007-07	5.24	2.77	
2007-08	6.72	3.67	
2007-09	7.09	3.7	
2007-10	6.37	3.08	
2007-11	5.87	2.65	
2007-12	6.11	2.66	
2008-01	7.29	3.21	
2008-02	6.71	2.75	
2008-03	6.09	2.31	
2008-04	4.48	1.38	
2008-05	4.67	1.45	
2008-06	3.3	0.71	
2008-07	4.1	1.09	
2008-08	3.43	0.73	
2008-09	2.92	0.46	
2008-10	2.75	0.37	
2008-11	2.59	0.28	
2008-12	2.85	0.4	
2009-01	2.84	0.38	
2009-02	3.5	0.68	
2009-03	3.6	0.71	
2009-04	3.78	0.78	
2009-05	3.69	0.72	
2009-06	3.99	0.84	
2009-07	4.42	1.01	
2009-08	4.52	1.02	
2009-09	4.64	1.04	
2009-10	4.74	1.06	
2009-11	5.4	1.31	
2009-12	5.46	1.28	
2010-01	5.42	1.23	
2010-02	4.92	0.99	
2010-03	4.94	0.98	
2010-04	4.81	0.89	
2010-05	4.03	0.57	
2010-06	3.7	0.42	
2010-07	3.61	0.38	
2010-08	3.82	0.44	
2010-09	5.19	0.93	
2010-10	8.38	2.04	
2010-11	8.41	1.97	
2010-12	9.29	2.19	
2011-01	8.85	1.96	
2011-02	9.59	2.12	
2011-03	8.91	1.83	
2011-04	8.28	1.56	
2011-05	8.35	1.53	
2011-06	8.5	1.52	
2011-07	9.2	1.67	
2011-08	8.62	1.44	
2011-09	8.98	1.49	
2011-10	8.27	1.25	
2011-11	8.94	1.38	
2011-12	8.02	1.1	
2012-01	7.17	0.85	
2012-02	7.72	0.96	
2012-03	7.89	0.97	
2012-04	7.6	0.86	
2012-05	7.41	0.79	
2012-06	6.83	0.63	
2012-07	7.04	0.65	
2012-08	6.9	0.6	
2012-09	5.99	0.37	
2012-10	5.74	0.3	
2012-11	4.95	0.11	
2012-12	5.24	0.16	
2013-01	6.1	0.34	
2013-02	6.48	0.41	
2013-03	5.89	0.26	
2013-04	4.99	0.06	
2013-05	5.47	0.15	
2013-06	4.91	0.03	
2013-07	4.36	-0.1	
2013-08	4.85	0	
2013-09	5.26	0.07	
2013-10	5.69	0.15	
2013-11	5.72	0.14	
2013-12	6.38	0.26	
2014-01	5.97	0.17	
2014-02	5.53	0.07	
2014-03	5.29	0.02	
2014-04	5.56	0.06	
2014-05	5.61	0.06	
2014-06	5.36	0	
2014-07	5.8	0.08	
2014-08	6.7	0.23	
2014-09	6.57	0.2	
2014-10	6.31	0.14	
2014-11	6.46	0.16	
2014-12	6.93	0.23	
2015-01	6.99	0.23	
2015-02	7.12	0.24	
2015-03	9.01	0.55	
2015-04	10.39	0.76	
2015-05	10.71	0.79	
2015-06	10.74	0.78	
2015-07	8.39	0.38	
2015-08	8.89	0.45	
2015-09	8.97	0.46	
2015-10	8.97	0.45	
2015-11	8.97	0.44	
2015-12	8.97	0.44	
2016-01	8.97	0.43	
2016-02	8.97	0.42	
2016-03	7.46	0.18	
2016-04	7.7	0.22	
2016-05	8.09	0.28	
2016-06	8.18	0.29	
2016-07	8.47	0.33	
2016-08	8.22	0.28	
2016-09	7.98	0.24	
2016-10	7.93	0.22	
2016-11	8.04	0.23	
2016-12	8.03	0.22	
2017-01	7.82	0.18	
2017-02	7.96	0.19	
2017-03	7.91	0.18	
2017-04	7.89	0.16	
2017-05	7.73	0.13	
2017-06	7.85	0.14	
2017-07	8.04	0.16	
2017-08	7.97	0.15	
2017-09	7.74	0.11	
2017-10	7.71	0.1	
2017-11	8.01	0.13	
2017-12	7.83	0.1	
2018-01	8.37	0.17	
2018-02	8.07	0.12	
2018-03	7.78	0.08	
2018-04	7.45	0.03	
2018-05	7.48	0.03	
2018-06	6.94	-0.04	
2018-07	6.71	-0.08	
2018-08	6.64	-0.09	
2018-09	6.31	-0.14	
2018-10	6.23	-0.15	
2018-11	6.96	-0.06	
2018-12	7.74	0.04	
2019-01	8.2	0.1	
2019-02	9.88	0.32	
2019-03	13.56	0.81	
2019-04	15.76	1.08	
2019-05	18.66	1.43	
2019-06	19.89	1.56	
2019-07	20.22	1.56	
2019-08	19.76	1.47	
2019-09	19.38	1.39	
2019-10	20.82	1.53	
2019-11	23.34	1.79	
2019-12	21.04	1.47	
2020-01	21.4	1.48	
2020-02	22.16	1.53	
2020-03	29.86	2.33	
2020-04	35.12	2.8	
2020-05	31.64	2.33	
2020-06	30.18	2.1	
2020-07	34.03	2.41	
2020-08	38.1	2.7	
2020-09	34.25	2.25	
2020-10	30.06	1.79	
2020-11	28.02	1.55	
2020-12	25.29	1.26	
2021-01	24.84	1.18	
2021-02	25.91	1.24	
2021-03	23.04	0.96	
2021-04	19.22	0.62	
2021-05	16.69	0.39	
2021-06	15.36	0.27	
2021-07	13.69	0.13	
2021-08	12.54	0.02	
2021-09	13.56	0.1	
2021-10	15.38	0.24	
2021-11	16.32	0.3	
2021-12	15.56	0.23	
2022-01	17.82	0.39	
2022-02	17.45	0.35	
2022-03	17.13	0.32	
2022-04	16.65	0.27	
2022-05	15.11	0.14	
2022-06	16.12	0.21	
2022-07	17.81	0.33	
2022-08	16.38	0.21	
2022-09	15.77	0.16	
2022-10	15	0.09	
2022-11	14.3	0.03	
2022-12	14.15	0.02	
2023-01	13.67	-0.02	
2023-02	14.13	0.01	
2023-03	13.9	-0.02	
2023-04	14.36	0.01	
2023-05	13.04	-0.09	
2023-06	12.52	-0.13	
2023-07	12.68	-0.12	
2023-08	12.67	-0.12	
2023-09	12.2	-0.15	
2023-10	10.98	-0.24	
2023-11	10.75	-0.25	
2023-12	9.89	-0.31	
2024-01	9.25	-0.36	
2024-02	9.12	-0.37	
2024-03	9.77	-0.32	
2024-04	9.86	-0.32	
2024-05	10.53	-0.27	
2024-06	10.17	-0.3	
2024-07	9.98	-0.31	
2024-08	10	-0.31	
2024-09	9.35	-0.36	
2024-10	10.32	-0.29	
2024-11	10.51	-0.28	
2024-12	10.07	-0.31	
2025-01	9.17	-0.37	
2025-02	9.14	-0.37	
