month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2022-02	0.79	-4.69	
2022-03	0.73	-21.74	
2022-04	0.73	-22.04	
2022-05	0.68	-59.4	
2022-06	0.71	-53.44	
2022-07	0.72	-32.7	
2022-08	0.69	-67.78	
2022-09	0.69	-69.26	
2022-10	0.68	-67.58	
2022-11	0.73	-16.68	
2022-12	0.75	22.53	
2023-01	0.74	25.33	
2023-02	0.73	26.12	
2023-03	0.78	65.8	
2023-04	0.79	73.4	
2023-05	0.85	86.65	
2023-06	0.83	83.04	
2023-07	0.83	85.08	
2023-08	0.82	66.38	
2023-09	0.78	25.4	
2023-10	0.75	-5.46	
2023-11	0.75	-21.71	
2023-12	0.75	-31.25	
2024-01	0.73	-52.35	
2024-02	0.77	-31.38	
2024-03	0.76	-23.68	
2024-04	0.78	0.8	
2024-05	0.79	27.81	
2024-06	0.79	35.9	
2024-07	0.87	65.06	
2024-08	0.88	75.28	
2024-09	0.84	65.93	
2024-10	0.88	84.67	
2024-11	0.87	75.89	
2024-12	0.96	93.43	
2025-01	0.9	74.11	
