month	ct_avg_Tdx收盘价	人均持股
2008-09	16.81	928.5	
2008-12	26.49	1713	
2009-03	32.47	1749	
2009-06	24.66	2175	
2009-09	27.21	3164	
2009-12	46.47	3549	
2010-03	59.84	2065	
2010-06	27.03	2105	
2010-09	30.66	2138	
2010-12	39.72	3380	
2011-03	37.7	2788	
2011-06	21.55	5231	
2011-09	13.83	9895	
2011-12	12.67	5146	
2012-03	12.25	5693	
2012-06	13.79	7883	
2012-09	13.91	8306	
2012-12	14.69	8671	
2013-03	14.6	7899	
2013-06	19.01	12789	
2013-09	24.25	12905	
2013-12	26.73	13142	
2014-03	22.33	11408	
2014-06	24.72	14268	
2014-09	26.62	14520	
2014-12	34.64	14164	
2015-03	39.84	13223	
2015-06	28.99	10749	
2015-09	17.96	14704	
2015-12	20.34	8030	
2016-03	16.52	9044	
2016-06	16.47	11297	
2016-09	24.34	16300	
2016-12	22.41	15971	
2017-03	26.94	18602	
2017-04	28.66	15402.5	
2017-06	35.28	19044	
2017-09	36.8	22306	
2017-10	39.84	23627	
2017-12	37.22	24595	
2018-01	40.96	26127.5	
2018-02	39.7	26800	
2018-03	42.98	27044.67	
2018-04	38.95	21324	
2018-05	37.57	19440	
2018-06	28.47	21438.5	
2018-07	16.41	22208	
2018-08	15.62	21198.5	
2018-09	14.7	20399.33	
2018-10	12.48	18641.67	
2018-11	14.25	19401.67	
2018-12	14.39	19473.33	
2019-01	14.62	19831	
2019-02	17.46	21740	
2019-03	20.42	21086.6	
2019-04	20.63	18307.33	
2019-05	20.01	19083.67	
2019-06	20.71	21783.67	
2019-07	22.95	25432	
2019-08	21.84	23814	
2019-09	21.38	21195.67	
2019-10	22.23	22612.33	
2019-11	24.31	22779.67	
2019-12	24.23	21751.33	
2020-01	27.28	23461.5	
2020-02	29	20972	
2020-03	32.63	19867.67	
2020-04	37.63	20819	
2020-05	37.91	17447.33	
2020-06	40.05	19413	
2020-07	50.23	18919.67	
2020-08	55.45	18787	
2020-09	56.76	17872.33	
2020-10	47.65	17636	
2020-11	37.22	17493	
2020-12	36.02	14967.33	
2021-01	47.68	16081	
2021-02	51.92	12018	
2021-03	48.15	13757.5	
2021-04	54.58	16543	
2021-05	57.48	17201.33	
2021-06	57.51	14154.33	
2021-07	52.45	14210	
2021-08	53.27	14296	
2021-09	45.6	12361	
2021-10	45.02	13547.33	
2021-11	40.9	12048.33	
2021-12	47.01	16874	
2022-01	50.04	20480.33	
2022-02	49.59	20498.33	
2022-03	42.83	17445.67	
2022-04	44.97	18863	
2022-05	45.1	19860.67	
2022-06	46.79	21227.67	
2022-07	44.17	16704.33	
2022-08	35.66	11807	
2022-09	28.83	9780	
2022-10	24.93	9507.33	
2022-11	30.06	10578.67	
2022-12	33.74	12699	
2023-01	36.88	14949.33	
2023-02	35.62	14215	
2023-03	33.87	13909.33	
2023-04	32.57	13659.5	
2023-05	27.54	12850.67	
2023-06	28.45	13013.33	
2023-07	27.39	12286	
2023-08	29.32	13961.33	
2023-09	28.2	13959	
2023-10	24.58	12753	
2023-11	23.18	11156.33	
2023-12	19.5	10616.67	
2024-01	17.5	10726	
2024-02	16.52	10950.5	
2024-03	16.77	10288	
2024-04	14.54	9786.67	
2024-05	15.84	9952	
2024-06	13.78	9965	
2024-07	12.75	9687.67	
2024-08	11.37	9499.67	
2024-09	10.72	9335	
2024-10	13.77	8847.33	
2024-11	14.29	9561	
2024-12	13.5	9652	
2025-01	12.46	9731	
