month	ct_avg_前复权价格	股东人数
2008-09	0.84	7934.5	
2008-12	1.33	7705	
2009-03	1.62	7546	
2009-06	1.78	9104	
2009-09	2.06	7850	
2009-12	3.52	7609	
2010-03	4.54	13078	
2010-06	4.14	27321	
2010-09	4.67	26904	
2010-12	6.04	22464	
2011-03	5.74	23758	
2011-06	4.93	26166	
2011-09	4.23	27891	
2011-12	3.89	33563	
2012-03	3.75	35071	
2012-06	4.23	25437	
2012-09	4.3	24140	
2012-12	4.54	23124	
2013-03	4.51	25384	
2013-06	5.93	16470	
2013-09	7.5	16360	
2013-12	8.34	16065	
2014-03	6.97	18506	
2014-06	7.78	14845	
2014-09	8.38	15031	
2014-12	10.9	15409	
2015-03	12.54	16506	
2015-06	18.31	41317	
2015-09	11.34	38368	
2015-12	12.85	70114	
2016-03	10.43	62249	
2016-06	10.46	50005	
2016-09	15.47	34405	
2016-12	14.24	35220	
2017-03	17.12	30238	
2017-04	18.22	36576.5	
2017-06	22.52	29594	
2017-09	23.5	25570	
2017-10	25.44	24140	
2017-12	23.76	23248	
2018-01	26.15	21888	
2018-02	25.35	21374	
2018-03	27.44	21324	
2018-04	24.87	27206.5	
2018-05	23.99	29575.5	
2018-06	21.46	35520	
2018-07	17.89	43839.5	
2018-08	17.03	45868	
2018-09	16.02	47687	
2018-10	13.61	52232.33	
2018-11	15.54	51312	
2018-12	15.7	51074.33	
2019-01	15.95	50196.5	
2019-02	19.04	45708.67	
2019-03	22.26	47135.2	
2019-04	22.5	54458.67	
2019-05	21.86	52196.67	
2019-06	22.93	45948.33	
2019-07	25.41	39155.33	
2019-08	24.18	42228.5	
2019-09	23.68	47254	
2019-10	24.61	44890	
2019-11	26.92	44519	
2019-12	26.84	46001	
2020-01	30.21	42224.5	
2020-02	32.12	47294	
2020-03	36.13	51760.67	
2020-04	41.67	53018.33	
2020-05	41.97	63190	
2020-06	44.52	56836.67	
2020-07	56.03	58487.33	
2020-08	61.86	58653.33	
2020-09	63.32	62069	
2020-10	61.8	78740	
2020-11	62.28	97036	
2020-12	60.28	112764.67	
2021-01	79.78	104578.5	
2021-02	86.87	139930	
2021-03	80.57	123139.5	
2021-04	91.33	101657	
2021-05	96.22	97818.67	
2021-06	96.7	120194	
2021-07	88.19	122653.67	
2021-08	89.56	121787	
2021-09	76.67	142779.33	
2021-10	75.69	143908.67	
2021-11	68.77	161887.67	
2021-12	79.04	116989.67	
2022-01	84.13	96509.33	
2022-02	83.37	97055.33	
2022-03	71.38	113598.67	
2022-04	75.61	105008.33	
2022-05	75.85	99665.67	
2022-06	79.2	93481.67	
2022-07	74.77	120003	
2022-08	60.36	168648.67	
2022-09	48.8	203577	
2022-10	42.2	209134.67	
2022-11	50.89	188384.33	
2022-12	57.11	156601	
2023-01	62.43	133136.67	
2023-02	60.29	139807.33	
2023-03	57.33	142907.33	
2023-04	55.12	145418.5	
2023-05	46.7	154629.33	
2023-06	48.33	152888.33	
2023-07	46.53	162985.33	
2023-08	49.8	142936.67	
2023-09	47.92	143153	
2023-10	41.76	156586.33	
2023-11	39.37	179453	
2023-12	33.13	187964.67	
2024-01	29.72	186077.67	
2024-02	28.07	182233	
2024-03	28.49	194072	
2024-04	24.71	203967	
2024-05	27.28	200582	
2024-06	24.24	198206.33	
2024-07	22.42	199459.67	
2024-08	19.99	203464.67	
2024-09	19.03	207002.67	
2024-10	25.5	218490	
2024-11	26.44	202098.67	
2024-12	25	200206	
2025-01	23.07	198556.5	
