month	ct_avg_Tdx收盘价	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx平均成交价	ct_avg_noise_avg_Tdx收盘价	ct_avg_noise_avg_Tdx平均成交价
2013-04	2477.48	10.13	-0.05	-0.07	13.29	0.1	
2013-05	2565.25	10.39	-0.02	-0.05	31.66	25.37	
2013-06	2369.77	9.4	-0.1	-0.14	9.24	-3.1	
2013-07	2231.37	9.26	-0.16	-0.16	-41.07	-47.67	
2013-08	2307.95	9.36	-0.13	-0.15	-44.24	-52.96	
2013-09	2420.61	9.29	-0.09	-0.16	-21.33	-54.14	
2013-10	2423.22	9.37	-0.1	-0.16	-10.42	-32.64	
2013-11	2375.87	9.41	-0.12	-0.16	-31.21	-47.24	
2013-12	2370.87	9.55	-0.13	-0.15	-22.93	-26.91	
2014-01	2224.05	9.5	-0.18	-0.15	-77.13	-23.21	
2014-02	2247.21	9.33	-0.18	-0.17	-78.24	-31.97	
2014-03	2147.06	8.72	-0.22	-0.23	-91.24	-78.44	
2014-04	2203.99	9.01	-0.2	-0.21	-77.3	-75.72	
2014-05	2148.41	8.54	-0.23	-0.25	-89.29	-88.12	
2014-06	2150.58	8.91	-0.23	-0.22	-85.98	-72.23	
2014-07	2204.84	8.64	-0.21	-0.25	-62.38	-69.41	
2014-08	2350.15	8.82	-0.16	-0.23	2.93	-70.79	
2014-09	2420	8.89	-0.14	-0.23	36.82	-41.67	
2014-10	2443.67	8.58	-0.14	-0.26	51.39	-60.66	
2014-11	2590.22	8.72	-0.09	-0.25	68.48	-67.63	
2014-12	3247.23	10.86	0.13	-0.07	87.11	34.16	
2015-01	3543.28	12.41	0.23	0.06	94.37	77.05	
2015-02	3440.79	12.47	0.18	0.06	87.26	86.25	
2015-03	3745.28	12.74	0.28	0.08	97.4	91.64	
2015-04	4491.86	14.26	0.52	0.2	99.83	97.53	
2015-05	4772.47	15.66	0.6	0.31	96.61	98.08	
2015-06	4989.6	15.15	0.66	0.26	92.77	85.76	
2015-07	4016.67	12.93	0.33	0.07	57.45	52.76	
2015-08	3718.97	12.34	0.23	0.02	30.7	32.23	
2015-09	3284.96	11.23	0.09	-0.07	-5.62	-4.11	
2015-10	3494.8	12.26	0.16	0.02	-8.3	-2.26	
2015-11	3717.96	13.37	0.23	0.12	-2.47	25.55	
2015-12	3730.24	13.59	0.24	0.14	-2.79	39.01	
2016-01	3178.53	10.77	0.07	-0.09	-39.55	-21.61	
2016-02	3006.43	9.92	0.02	-0.15	-60.71	-58.93	
2016-03	3122.06	10.73	0.06	-0.08	-64.83	-62.54	
2016-04	3210.23	11.06	0.1	-0.04	-62.14	-62.99	
2016-05	3100.62	10.85	0.07	-0.05	-78.23	-62.76	
2016-06	3130.51	12.15	0.09	0.07	-71.52	-16.96	
2016-07	3231.76	11.98	0.13	0.06	-40.99	4.25	
2016-08	3290.18	11.65	0.15	0.04	-18.48	-2.02	
2016-09	3279.08	11.54	0.15	0.03	-5	-11.65	
2016-10	3323.92	10.35	0.16	-0.07	14.51	-56.81	
2016-11	3430.7	10.35	0.2	-0.07	41.48	-69.03	
2016-12	3386.82	10.44	0.18	-0.06	37.5	-75.77	
2017-01	3349	10.2	0.16	-0.09	31.25	-74.9	
2017-02	3430.15	10.43	0.18	-0.07	56.35	-68.7	
2017-03	3454.55	11.51	0.18	0.03	67.39	-11.57	
2017-04	3477.18	10.93	0.18	-0.03	65.67	-11.21	
2017-05	3408.8	10.75	0.15	-0.05	35.71	-22.23	
2017-06	3571.93	12.34	0.2	0.09	77.68	32.35	
2017-07	3690.34	11.76	0.24	0.04	96.85	44.05	
2017-08	3747.02	11.73	0.25	0.04	95.42	35.79	
2017-09	3834.19	12.56	0.28	0.11	96	77.63	
2017-10	3943.33	12.8	0.31	0.13	99.89	82.67	
2017-11	4081.17	13.4	0.35	0.18	97.89	89.65	
2017-12	4023.8	13.89	0.33	0.23	86.1	92.26	
2018-01	4246.93	13.16	0.4	0.16	97.77	75.08	
2018-02	4064.06	12.98	0.34	0.15	77.86	56.43	
2018-03	4017.49	13.68	0.32	0.21	62.22	75.33	
2018-04	3829.99	13.58	0.26	0.2	18.35	72.87	
2018-05	3848.35	13.99	0.26	0.24	2.84	83.73	
2018-06	3686.82	13.65	0.21	0.21	-27.95	71.38	
2018-07	3465.73	12.51	0.13	0.11	-50.16	15.02	
2018-08	3342.63	12.26	0.09	0.09	-69.02	-26.48	
2018-09	3305.59	12.22	0.08	0.08	-81.96	-40.41	
2018-10	3168.44	11.17	0.03	-0.01	-89.68	-70.39	
2018-11	3208.55	10.67	0.04	-0.05	-85.63	-86	
2018-12	3127.05	11.36	0.02	0.01	-93.39	-72.99	
2019-01	3112.88	10.79	0.01	-0.04	-86.2	-83.16	
2019-02	3472.28	10.5	0.13	-0.07	-42.86	-82.2	
2019-03	3776.5	11.89	0.22	0.06	10.03	-47.28	
2019-04	4014.04	12.93	0.3	0.15	42.18	10.12	
2019-05	3659.64	12.73	0.18	0.14	33.75	27.37	
2019-06	3713.25	12.91	0.2	0.15	40.88	30.73	
2019-07	3834.02	13.79	0.23	0.23	67	58.58	
2019-08	3735.87	14.17	0.2	0.27	50.57	71.59	
2019-09	3904.33	14.65	0.25	0.31	75.98	84.69	
2019-10	3894.67	15.24	0.24	0.35	80.06	90.03	
2019-11	3914.84	14.34	0.25	0.27	82.86	73.47	
2019-12	3961.83	13.59	0.26	0.2	83.68	44.03	
2020-01	4145.44	15.34	0.31	0.35	95.09	60.66	
2020-02	3986.89	15.11	0.25	0.33	79.55	77.72	
2020-03	3842.65	14.95	0.2	0.31	57.63	76.14	
2020-04	3802.88	15.15	0.19	0.32	9.78	74.19	
2020-05	3909.73	15.85	0.21	0.37	25.99	92.01	
