month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2011-11	38.7	1.24	
2011-12	32.19	0.83	
2012-01	31.76	0.77	
2012-02	35.92	0.96	
2012-03	35.03	0.88	
2012-04	33.52	0.77	
2012-05	34.73	0.8	
2012-06	35.69	0.82	
2012-07	33.2	0.67	
2012-08	35.01	0.73	
2012-09	39.45	0.91	
2012-10	39.71	0.89	
2012-11	37.7	0.76	
2012-12	36.93	0.7	
2013-01	37.74	0.71	
2013-02	36.89	0.64	
2013-03	34.29	0.5	
2013-04	32.49	0.41	
2013-05	32.49	0.39	
2013-06	32.49	0.37	
2013-07	22.99	-0.04	
2013-08	22.92	-0.05	
2013-09	23.61	-0.03	
2013-10	22.11	-0.1	
2013-11	20.2	-0.19	
2013-12	18.82	-0.25	
2014-01	16.71	-0.34	
2014-02	17.6	-0.31	
2014-03	18.09	-0.29	
2014-04	17.01	-0.34	
2014-05	16.16	-0.37	
2014-06	15.72	-0.39	
2014-07	16.26	-0.38	
2014-08	16.94	-0.35	
2014-09	16.94	-0.36	
2014-10	16.94	-0.36	
2014-11	17.02	-0.36	
2014-12	20.49	-0.24	
2015-01	25.22	-0.07	
2015-02	25.46	-0.07	
2015-03	26.4	-0.04	
2015-04	29.81	0.08	
2015-05	30.97	0.11	
2015-06	30.67	0.09	
2015-07	19.28	-0.32	
2015-08	20.64	-0.28	
2015-09	17.66	-0.38	
2015-10	19.69	-0.32	
2015-11	19.88	-0.31	
2015-12	21.49	-0.26	
2016-01	19.74	-0.32	
2016-02	22.11	-0.24	
2016-03	27.78	-0.04	
2016-04	30.07	0.03	
2016-05	31.54	0.08	
2016-06	36	0.23	
2016-07	47.1	0.59	
2016-08	44.81	0.5	
2016-09	41.55	0.38	
2016-10	39.91	0.32	
2016-11	42.14	0.38	
2016-12	37.95	0.23	
2017-01	38.39	0.23	
2017-02	38.67	0.23	
2017-03	37.06	0.17	
2017-04	37.18	0.16	
2017-05	34.34	0.06	
2017-06	29.98	-0.07	
2017-07	31.58	-0.03	
2017-08	33.89	0.04	
2017-09	33.65	0.03	
2017-10	31.44	-0.04	
2017-11	31.53	-0.04	
2017-12	31.17	-0.05	
2018-01	33.37	0.01	
2018-02	28.56	-0.13	
2018-03	28.61	-0.13	
2018-04	31.48	-0.04	
2018-05	28.77	-0.12	
2018-06	27.17	-0.17	
2018-07	24.93	-0.23	
2018-08	23.28	-0.28	
2018-09	23.97	-0.25	
2018-10	26.95	-0.16	
2018-11	27.21	-0.15	
2018-12	30.21	-0.05	
2019-01	31.36	-0.01	
2019-02	33.59	0.07	
2019-03	33.13	0.06	
2019-04	31.52	0.02	
2019-05	31.47	0.02	
2019-06	37.8	0.23	
2019-07	42.55	0.39	
2019-08	51.42	0.68	
2019-09	54.47	0.78	
2019-10	48.06	0.56	
2019-11	44.28	0.44	
2019-12	45.8	0.5	
2020-01	50.78	0.66	
2020-02	49.71	0.61	
2020-03	48.37	0.57	
2020-04	52.75	0.7	
2020-05	53.62	0.71	
2020-06	52.65	0.67	
2020-07	57.55	0.81	
2020-08	60.33	0.89	
2020-09	54.86	0.7	
2020-10	52.23	0.62	
2020-11	50.05	0.54	
2020-12	48.66	0.49	
2021-01	47.42	0.45	
2021-02	45.49	0.39	
2021-03	44.78	0.36	
2021-04	41.63	0.26	
2021-05	43.31	0.31	
2021-06	40.69	0.23	
2021-07	37.14	0.12	
2021-08	36.22	0.1	
2021-09	40.16	0.21	
2021-10	40.73	0.23	
2021-11	40.96	0.23	
2021-12	38.79	0.16	
2022-01	39.54	0.17	
2022-02	40.72	0.2	
2022-03	41.98	0.23	
2022-04	43.13	0.25	
2022-05	37.36	0.08	
2022-06	38.09	0.1	
2022-07	36.78	0.05	
2022-08	37.43	0.06	
2022-09	36.25	0.02	
2022-10	35.2	-0.01	
2022-11	39.53	0.1	
2022-12	40.31	0.12	
2023-01	40.37	0.11	
2023-02	39.5	0.08	
2023-03	42.33	0.15	
2023-04	52.27	0.41	
2023-05	51.17	0.37	
2023-06	50.13	0.33	
2023-07	51.26	0.36	
2023-08	51.17	0.35	
2023-09	53.28	0.39	
2023-10	51.48	0.34	
2023-11	47.16	0.22	
2023-12	46.6	0.19	
2024-01	44.34	0.13	
2024-02	44.2	0.12	
2024-03	51.71	0.3	
2024-04	62.77	0.56	
2024-05	61.46	0.51	
2024-06	57.44	0.4	
2024-07	60.08	0.45	
2024-08	60.24	0.45	
2024-09	54.14	0.29	
2024-10	57.34	0.36	
2024-11	52.17	0.24	
2024-12	49.52	0.17	
2025-01	50.27	0.19	
