month	ct_avg_Tdx收盘价	人均持股
2014-03	29.95	2156	
2014-06	27.2	2076	
2014-09	37.89	2582	
2014-12	33.91	2859	
2015-03	39.85	5595	
2015-06	51.31	5886	
2015-09	31.89	6960	
2015-12	84.42	4028	
2016-03	71.5	4147	
2016-06	67.46	2468	
2016-09	52.3	2840	
2016-12	46.25	3048	
2017-03	51.49	3670	
2017-06	39.23	3757	
2017-09	51.56	5190	
2017-12	43.56	5147	
2018-03	48.1	5271	
2018-06	39.59	4472	
2018-09	23.7	4270	
2018-12	24.02	4696	
2019-03	33.08	9516	
2019-06	23.69	9107	
2019-09	17.22	15846	
2019-12	19.08	11634	
2020-03	22.54	14050	
2020-06	30.52	22119	
2020-09	45.62	23580	
2020-12	91.47	8280	
2021-03	85.72	6355	
2021-06	98.45	7840	
2021-09	142.76	10857	
2021-12	123.4	5825	
2022-03	96.24	5928	
2022-06	53.53	6570	
2022-09	46.68	6243	
2022-12	48.48	7033	
2023-03	41.82	6312	
2023-06	40.75	8061	
2023-09	29.32	7954	
2023-12	22.93	7956	
2024-03	21.39	7204	
2024-06	18.96	7318	
2024-09	14.39	7277	
