month	ct_avg_Tdx收盘价	股东人数
2014-03	29.95	13966	
2014-06	27.2	14501	
2014-09	37.89	11661	
2014-12	33.91	10529	
2015-03	39.85	10782	
2015-06	51.31	9635	
2015-09	31.89	8172	
2015-12	84.42	14121	
2016-03	71.5	13714	
2016-06	67.46	57993	
2016-09	52.3	50858	
2016-12	46.25	53507	
2017-03	51.49	48776	
2017-06	39.23	47699	
2017-09	51.56	36061	
2017-12	43.56	34892	
2018-03	48.1	34073	
2018-06	39.59	40261	
2018-09	23.7	45482	
2018-12	24.02	41546	
2019-03	33.08	35597	
2019-06	23.69	37192	
2019-09	17.22	34202	
2019-12	19.08	31559	
2020-03	22.54	38574	
2020-06	30.52	24502	
2020-09	45.62	23034	
2020-12	91.47	45773	
2021-03	85.72	59638	
2021-06	98.45	84429	
2021-09	142.76	60973	
2021-12	123.4	117817	
2022-03	96.24	115772	
2022-06	53.53	211076	
2022-09	46.68	221261	
2022-12	48.48	196408	
2023-03	41.82	218867	
2023-06	40.75	171677	
2023-09	29.32	174148	
2023-12	22.93	174062	
2024-03	21.39	192249	
2024-06	18.96	189250	
2024-09	14.39	190330	
