month	ct_avg_前复权价格	股东人数
2014-03	1.51	13966	
2014-06	1.38	14501	
2014-09	1.96	11661	
2014-12	1.72	10529	
2015-03	2.02	10782	
2015-06	2.61	9635	
2015-09	1.62	8172	
2015-12	4.29	14121	
2016-03	3.75	13714	
2016-06	8.58	57993	
2016-09	6.65	50858	
2016-12	5.88	53507	
2017-03	6.55	48776	
2017-06	5	47699	
2017-09	6.59	36061	
2017-12	5.57	34892	
2018-03	6.15	34073	
2018-06	5.06	40261	
2018-09	3.05	45482	
2018-12	3.09	41546	
2019-03	4.25	35597	
2019-06	3.04	37192	
2019-09	3.55	34202	
2019-12	3.93	31559	
2020-03	4.65	38574	
2020-06	6.3	24502	
2020-09	9.42	23034	
2020-12	18.9	45773	
2021-03	17.71	59638	
2021-06	34.64	84429	
2021-09	50.23	60973	
2021-12	43.42	117817	
2022-03	34.45	115772	
2022-06	37.92	211076	
2022-09	33.07	221261	
2022-12	34.34	196408	
2023-03	29.63	218867	
2023-06	29.25	171677	
2023-09	21.05	174148	
2023-12	16.46	174062	
2024-03	15.36	192249	
2024-06	13.8	189250	
2024-09	10.47	190330	
