month	ct_avg_Tdx收盘价	股东人数
2009-10	43.28	35382	
2009-12	41.78	14172	
2010-03	34.24	15310	
2010-06	29.52	19788	
2010-09	30.15	19317	
2010-12	27.41	20238	
2011-03	24.57	19403	
2011-06	15.98	19670	
2011-09	16.55	21839	
2011-12	14.72	23063	
2012-01	12.66	23048	
2012-03	14.91	22150	
2012-06	13.67	21355	
2012-09	11.7	20892	
2012-12	9.98	20478	
2013-03	14.03	18443	
2013-06	24.45	14892	
2013-09	36.78	11982	
2013-12	34.05	10753	
2014-03	40.57	14186	
2014-06	16.06	28967	
2014-09	17.72	33912	
2014-12	16.45	31813	
2015-03	17.56	22918	
2015-06	33.39	12818	
2015-09	16.93	20323	
2015-12	30.74	36048	
2016-03	23	40490	
2016-06	44.44	47412	
2016-09	35.11	47903	
2016-12	29.88	44083	
2017-03	36.1	45190	
2017-04	34.83	42541.5	
2017-06	16.21	57137	
2017-08	23.2	85453	
2017-09	25.67	95774	
2017-10	23.88	88938	
2017-11	20.43	94379.5	
2017-12	18.86	99514	
2018-03	18.02	92944	
2018-04	17.05	88219	
2018-05	18.48	80021	
2018-06	17.39	77542.33	
2018-07	16.53	77948.5	
2018-08	14.38	78231	
2018-09	13.87	75326	
2018-10	12.01	76543	
2018-11	13.18	75189	
2018-12	15.75	71393	
2019-01	16.58	72830	
2019-02	19.17	65623	
2019-03	23.68	56283.5	
2019-04	27.66	44765.67	
2019-05	25.3	47784.33	
2019-06	25.82	44716	
2019-07	31.29	40132.33	
2019-08	32.32	41044.67	
2019-09	37.3	53475.67	
2019-10	34.06	74281.67	
2019-11	40.79	56907.33	
2019-12	50.9	58596.67	
2020-01	54.78	61863	
2020-02	70.35	66582	
2020-03	62.75	72653.5	
2020-04	62.22	70107.33	
2020-05	64.91	70372.33	
2020-06	51.64	81347	
2020-07	54.34	116586.67	
2020-08	52.74	117930.33	
2020-09	48.72	115977.5	
2020-10	54.43	108120.33	
2020-11	63.25	81107.33	
2020-12	70.19	77117.33	
2021-01	99.1	83854.67	
2021-02	100.73	101109.33	
2021-03	79.49	104722.67	
2021-04	78.62	105696	
2021-05	97.73	95003.67	
2021-06	103.67	101940	
2021-07	115.85	114644	
2021-08	107.51	148433	
2021-09	94.4	163928.67	
2021-10	110.18	129152.67	
2021-11	130.4	100226	
2021-12	130.23	98778.67	
2022-01	103.31	116937.33	
2022-02	87.63	138811	
2022-03	78.58	167310	
2022-04	68.78	161906	
2022-05	74.64	156236	
2022-06	97.86	121955	
2022-07	98.97	120230	
2022-08	102.66	117868.67	
2022-09	90.2	130795	
2022-10	90.2	128404.33	
2022-11	87.61	131730.33	
2022-12	88.92	114646	
2023-01	85.79	121372	
2023-02	81.15	152579	
2023-03	68.23	171021.67	
2023-04	66.55	174765	
2023-05	66.6	167634.5	
2023-06	60	169326.33	
2023-07	57.83	166137.5	
2023-08	54.75	163445	
2023-09	46.91	166861	
2023-12	40.33	163969.33	
2024-01	38.97	165289	
2024-02	34.88	162873	
2024-03	40.33	161941.25	
2024-04	37.36	164544	
2024-05	37.97	160034.5	
2024-06	41.63	147851.5	
2024-09	34.23	157158	
