month	ct_avg_前复权价格	股东人数
2009-10	1	35382	
2009-12	0.96	14172	
2010-03	0.79	15310	
2010-06	1.03	19788	
2010-09	1.05	19317	
2010-12	0.96	20238	
2011-03	0.86	19403	
2011-06	0.77	19670	
2011-09	0.87	21839	
2011-12	0.77	23063	
2012-01	0.66	23048	
2012-03	0.78	22150	
2012-06	0.73	21355	
2012-09	0.62	20892	
2012-12	0.53	20478	
2013-03	0.74	18443	
2013-06	1.3	14892	
2013-09	1.96	11982	
2013-12	1.82	10753	
2014-03	2.16	14186	
2014-06	1.71	28967	
2014-09	1.89	33912	
2014-12	1.76	31813	
2015-03	1.87	22918	
2015-06	3.56	12818	
2015-09	1.81	20323	
2015-12	3.29	36048	
2016-03	2.46	40490	
2016-06	4.76	47412	
2016-09	3.76	47903	
2016-12	3.2	44083	
2017-03	3.87	45190	
2017-04	3.73	42541.5	
2017-06	3.48	57137	
2017-08	4.98	85453	
2017-09	5.51	95774	
2017-10	5.13	88938	
2017-11	4.39	94379.5	
2017-12	4.05	99514	
2018-03	3.87	92944	
2018-04	3.66	88219	
2018-05	3.97	80021	
2018-06	3.75	77542.33	
2018-07	3.57	77948.5	
2018-08	3.1	78231	
2018-09	2.99	75326	
2018-10	2.59	76543	
2018-11	2.85	75189	
2018-12	3.4	71393	
2019-01	3.58	72830	
2019-02	4.14	65623	
2019-03	5.11	56283.5	
2019-04	5.97	44765.67	
2019-05	5.46	47784.33	
2019-06	5.57	44716	
2019-07	6.75	40132.33	
2019-08	6.98	41044.67	
2019-09	8.05	53475.67	
2019-10	7.35	74281.67	
2019-11	8.81	56907.33	
2019-12	10.99	58596.67	
2020-01	11.82	61863	
2020-02	15.18	66582	
2020-03	13.54	72653.5	
2020-04	13.43	70107.33	
2020-05	14.01	70372.33	
2020-06	17.08	81347	
2020-07	22.35	116586.67	
2020-08	21.69	117930.33	
2020-09	20.04	115977.5	
2020-10	22.38	108120.33	
2020-11	26.01	81107.33	
2020-12	28.86	77117.33	
2021-01	40.75	83854.67	
2021-02	41.42	101109.33	
2021-03	32.69	104722.67	
2021-04	32.33	105696	
2021-05	40.19	95003.67	
2021-06	42.64	101940	
2021-07	47.65	114644	
2021-08	44.22	148433	
2021-09	38.83	163928.67	
2021-10	45.32	129152.67	
2021-11	53.64	100226	
2021-12	53.57	98778.67	
2022-01	42.49	116937.33	
2022-02	36.04	138811	
2022-03	32.4	167310	
2022-04	28.29	161906	
2022-05	30.7	156236	
2022-06	40.25	121955	
2022-07	40.76	120230	
2022-08	42.29	117868.67	
2022-09	37.16	130795	
2022-10	37.16	128404.33	
2022-11	36.09	131730.33	
2022-12	36.63	114646	
2023-01	35.34	121372	
2023-02	33.43	152579	
2023-03	28.11	171021.67	
2023-04	27.42	174765	
2023-05	27.44	167634.5	
2023-06	24.74	169326.33	
2023-07	23.89	166137.5	
2023-08	22.62	163445	
2023-09	19.38	166861	
2023-12	16.66	163969.33	
2024-01	16.1	165289	
2024-02	14.41	162873	
2024-03	16.66	161941.25	
2024-04	15.43	164544	
2024-05	15.78	160034.5	
2024-06	17.43	147851.5	
2024-09	14.33	157158	
