month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2012-09	0.37	-75.68	
2012-10	0.36	-81.35	
2012-11	0.35	-84.09	
2012-12	0.36	-65.95	
2013-01	0.38	-28.21	
2013-02	0.41	5.83	
2013-03	0.44	30.53	
2013-04	0.42	30.36	
2013-05	0.42	39.93	
2013-06	0.38	13.29	
2013-07	0.38	-8.15	
2013-08	0.42	34.9	
2013-09	0.43	57.19	
2013-10	0.44	64.58	
2013-11	0.41	25.72	
2013-12	0.41	29.18	
2014-01	0.36	-34.44	
2014-02	0.38	-45.03	
2014-03	0.38	-58.25	
2014-04	0.38	-49.23	
2014-05	0.4	-22.23	
2014-06	0.39	-22.77	
2014-07	0.42	38.78	
2014-08	0.44	67.13	
2014-09	0.51	76.79	
2014-10	0.63	89.33	
2014-11	0.67	92.9	
2014-12	0.71	90.02	
2015-01	0.63	72.05	
2015-02	0.63	63.93	
2015-03	0.77	87.91	
2015-04	0.88	95.11	
2015-05	1.09	97.55	
2015-06	1.47	94.94	
2015-07	0.88	61.53	
2015-08	0.87	46.22	
2015-09	0.61	-3.3	
2015-10	0.69	-6.51	
2015-11	0.82	-2.72	
2015-12	0.87	13.55	
2016-01	0.63	-33.93	
2016-02	0.56	-52.92	
2016-03	0.58	-65.64	
2016-04	0.62	-64.91	
2016-05	0.71	-42.22	
2016-06	0.72	-14.11	
2016-07	0.74	7.7	
2016-08	0.71	-0.74	
2016-09	0.7	-5.62	
2016-10	0.69	-22.21	
2016-11	0.69	-20.9	
2016-12	0.64	-51.54	
2017-01	0.63	-65.82	
2017-02	0.64	-58.98	
2017-03	0.64	-59.36	
2017-04	0.65	-38.05	
2017-05	0.59	-81.29	
2017-06	0.59	-83.48	
2017-07	0.6	-80.02	
2017-08	0.6	-73.76	
2017-09	0.63	-29.89	
2017-10	0.69	15.49	
2017-11	0.74	46.06	
2017-12	0.74	63.35	
2018-01	0.66	32.87	
2018-02	0.58	-11.61	
2018-03	0.61	-22.24	
2018-04	0.57	-48.12	
2018-05	0.59	-48.58	
2018-06	0.53	-69.46	
2018-07	0.57	-58.93	
2018-08	0.7	-10.09	
2018-09	0.88	46.99	
2018-10	0.91	64.43	
2018-11	1.03	81.25	
2018-12	0.96	78.13	
2019-01	1.06	90.14	
2019-02	1.34	99.05	
2019-03	1.5	96	
2019-04	1.65	97.02	
2019-05	1.32	69.73	
2019-06	1.46	73.12	
2019-07	2	93.94	
2019-08	2.56	99.19	
2019-09	3.61	98.04	
2019-10	3.36	85.91	
2019-11	3.01	73.6	
2019-12	3.14	76.42	
2020-01	3.26	80.97	
2020-02	3.29	66.25	
2020-03	3.61	85.59	
2020-04	3.46	79.59	
2020-05	3.49	78.08	
2020-06	3.32	43.08	
2020-07	3.46	57.96	
2020-08	3.13	8.55	
2020-09	2.69	-36	
2020-10	2.6	-47.04	
2020-11	2.68	-47.92	
2020-12	2.62	-61.41	
2021-01	2.61	-67.32	
2021-02	2.34	-89.64	
2021-03	2.35	-86.96	
2021-04	2.19	-94.77	
2021-05	2.01	-94.64	
2021-06	2.08	-86.74	
2021-07	2.02	-86.61	
2021-08	1.94	-91.84	
2021-09	1.81	-95	
2021-10	1.63	-99.05	
2021-11	2.04	-64.04	
2021-12	2.38	-9.78	
2022-01	2.6	23.59	
2022-02	2.61	42.75	
2022-03	2.21	15.64	
2022-04	1.84	-26.74	
2022-05	2.22	-8.55	
2022-06	2.46	42.3	
2022-07	2.01	-7.87	
2022-08	1.99	-44.25	
2022-09	1.73	-69.26	
2022-10	1.62	-72.1	
2022-11	1.94	-61.04	
2022-12	1.88	-62.38	
2023-01	1.93	-47.43	
2023-02	2.34	5.09	
2023-03	2.73	45.42	
2023-04	3.65	73.17	
2023-05	3.06	74.6	
2023-06	3.3	84.55	
2023-07	3.59	91.79	
2023-08	3.34	73.21	
2023-09	3.18	48.26	
2023-10	3.2	48.95	
2023-11	3.23	36.77	
2023-12	3.36	46.43	
2024-01	3.29	42.21	
2024-02	3.77	65.11	
2024-03	4.73	95.03	
2024-04	4.77	89.69	
2024-05	5.01	95	
2024-06	5.6	98.31	
2024-07	5.81	92.12	
2024-08	5.13	66.84	
2024-09	5.25	57.66	
2024-10	6.65	90.82	
2024-11	6.18	82.65	
2024-12	6.1	78.33	
2025-01	6.55	91.67	
2025-02	6.1	81.25	
