month	ct_avg_Tdx收盘价	人均持股
2010-08	19.56	0	
2010-09	18.89	1886	
2010-12	17.2	2311	
2011-03	15.96	2291	
2011-06	10.6	2888	
2011-09	8.91	14831	
2011-12	7.04	14269	
2012-03	7.72	13662	
2012-06	4.49	19766	
2012-09	4.28	20124	
2012-12	4.21	20820	
2013-03	5.22	20032	
2013-06	3.54	23536	
2013-09	4.03	32885	
2013-12	3.81	32005	
2014-03	3.57	29787	
2014-06	3.6	37528	
2014-09	3.87	35083	
2014-12	5.4	39778	
2015-03	5.8	34942	
2015-06	11.16	16937	
2015-09	4.65	15424	
2015-12	6.59	16051	
2016-03	4.38	14137	
2016-06	5.48	15549	
2016-09	5.3	16430	
2016-12	4.89	15903	
2017-02	4.86	16249	
2017-03	4.87	16246	
2017-06	4.47	17142	
2017-09	4.76	18571	
2017-12	5.57	17882	
2018-03	4.56	18153	
2018-06	3.95	19027	
2018-09	6.56	21647	
2018-12	7.14	20018	
2019-03	11.14	17412	
2019-06	10.76	16091	
2019-09	26.56	8432	
2019-12	23.06	7585	
2020-03	26.55	8191	
2020-06	24.25	8150	
2020-09	19.66	7278	
2020-12	19.08	7789	
2021-03	17.17	8531	
2021-06	15.2	8661	
2021-09	11.85	9962	
2021-12	15.59	12611	
2022-03	14.86	14401	
2022-06	15.93	14780	
2022-09	11.19	10520	
2022-12	12.18	12391	
2023-03	17.7	16935	
2023-06	21.2	12131	
2023-09	20.47	16772	
2023-12	21.61	19187	
2024-03	30.41	16849	
2024-06	35.49	19326	
2024-09	33.25	17474	
