month	ct_avg_Tdx收盘价	人均持股
1997-12	29.4	1825	
1998-06	33.36	2601	
1998-12	22.91	2864	
1999-06	19.06	3221	
1999-12	21.65	5466	
2000-06	46.66	6893	
2000-12	34.77	8304	
2001-12	15.42	6025	
2002-06	15.35	6920	
2002-09	11.24	11002	
2002-12	7.17	9278	
2003-03	6.99	8140	
2003-06	10.17	7561	
2003-09	9.86	8902	
2003-12	10.98	9694	
2004-03	13.07	7818	
2004-06	7.47	10127	
2004-09	7.45	10723	
2004-12	6.51	10075	
2005-03	5.68	10558	
2005-06	6.17	12426	
2005-09	6.72	12556	
2005-12	5.98	13039	
2006-03	5.73	11082	
2006-06	7.97	9624	
2006-09	5.14	11402	
2006-12	6.14	10765	
2007-03	10.2	11680	
2007-06	14.92	5486	
2007-09	17.26	8411	
2007-12	16.8	7476	
2008-03	12.65	7501	
2008-06	6.98	7245	
2008-09	5.5	9804	
2008-12	6	11074	
2009-03	6.26	11615	
2009-06	6.74	12175	
2009-09	6.85	17331	
2009-12	7.18	14405	
2010-03	7.39	15920	
2010-06	3.34	23644	
2010-09	3.28	23012	
2010-12	3.21	22951	
2011-03	3.04	22884	
2011-06	2.98	22091	
2011-09	2.4	21568	
2011-12	2.62	23682	
2012-03	2.64	24384	
2012-06	2.66	26296	
2012-09	2.45	27084	
2012-12	2.42	27466	
2013-03	2.93	30414	
2013-06	2.43	29731	
2013-09	2.37	32871	
2013-12	2.45	33606	
2014-03	2.32	33564	
2014-06	2.21	34164	
2014-09	2.47	36662	
2014-12	3.86	28388	
2015-03	4.08	23816	
2015-06	7.1	14176	
2015-09	4.3	16985	
2015-12	4.01	19306	
2016-03	3.09	21664	
2016-06	2.92	22204	
2016-09	3.01	23622	
2016-12	3.19	23898	
2017-03	3.25	24452	
2017-06	3.54	26018.5	
2017-09	3.46	24348	
2017-12	3.23	25730	
2018-03	3.06	26406	
2018-06	2.71	26949	
2018-09	2.53	27306	
2018-12	2.51	27946	
2019-03	2.73	28259	
2019-06	2.54	29128	
2019-09	2.46	29801	
2019-12	2.3	30284	
2020-03	2.08	30857	
2020-06	1.84	31282	
2020-09	2.1	32896	
2020-12	2.17	34081	
2021-03	2.21	34388	
2021-06	2.44	36201	
2021-09	2.99	30323	
2021-12	2.9	32508	
2022-03	2.68	32733	
2022-06	3.75	38960	
2022-09	4.36	42656	
2022-12	4.1	41818	
2023-03	3.88	39766	
2023-06	3.86	40520	
2023-09	3.7	43092	
2023-12	4.14	47602	
2024-03	4.98	51930	
2024-06	5.82	54328	
2024-09	5.08	54687	
