month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2005-06	6.17	-0.69	
2005-07	6.63	-0.67	
2005-08	6.96	-0.65	
2005-09	6.72	-0.66	
2005-10	5.87	-0.7	
2005-11	5.56	-0.71	
2005-12	5.98	-0.69	
2006-01	6.24	-0.67	
2006-02	6	-0.68	
2006-03	5.73	-0.69	
2006-04	6.09	-0.67	
2006-05	7.64	-0.57	
2006-06	7.97	-0.55	
2006-07	7.77	-0.55	
2006-08	6.47	-0.62	
2006-09	5.14	-0.7	
2006-10	5.32	-0.68	
2006-11	5.8	-0.64	
2006-12	6.14	-0.62	
2007-01	7.71	-0.52	
2007-02	10.14	-0.36	
2007-03	10.2	-0.35	
2007-04	13.06	-0.16	
2007-05	14.41	-0.07	
2007-06	14.92	-0.03	
2007-07	13.11	-0.15	
2007-08	15.12	-0.01	
2007-09	17.26	0.13	
2007-10	18.15	0.19	
2007-11	16.6	0.09	
2007-12	16.8	0.11	
2008-01	16.81	0.11	
2008-02	18.53	0.23	
2008-03	12.65	-0.16	
2008-04	6.49	-0.56	
2008-05	7.39	-0.5	
2008-06	6.98	-0.52	
2008-07	6.47	-0.54	
2008-08	5.51	-0.6	
2008-09	5.5	-0.59	
2008-10	5.58	-0.57	
2008-11	5.91	-0.53	
2008-12	6	-0.51	
2009-01	5.95	-0.5	
2009-02	6.4	-0.44	
2009-03	6.26	-0.44	
2009-04	6.27	-0.42	
2009-05	6.5	-0.38	
2009-06	6.74	-0.34	
2009-07	7.46	-0.26	
2009-08	7.41	-0.25	
2009-09	6.85	-0.3	
2009-10	6.94	-0.28	
2009-11	7.46	-0.22	
2009-12	7.18	-0.24	
2010-01	7.14	-0.23	
2010-02	6.85	-0.26	
2010-03	7.39	-0.19	
2010-04	8.07	-0.11	
2010-05	3.66	-0.59	
2010-06	3.34	-0.62	
2010-07	3.43	-0.61	
2010-08	3.44	-0.6	
2010-09	3.28	-0.61	
2010-10	3.51	-0.58	
2010-11	3.31	-0.6	
2010-12	3.21	-0.6	
2011-01	2.96	-0.63	
2011-02	2.98	-0.63	
2011-03	3.04	-0.62	
2011-04	3.21	-0.59	
2011-05	3.26	-0.58	
2011-06	2.98	-0.62	
2011-07	2.9	-0.63	
2011-08	2.55	-0.67	
2011-09	2.4	-0.68	
2011-10	2.35	-0.69	
2011-11	2.65	-0.64	
2011-12	2.62	-0.64	
2012-01	2.76	-0.62	
2012-02	2.71	-0.63	
2012-03	2.64	-0.63	
2012-04	2.58	-0.64	
2012-05	2.57	-0.63	
2012-06	2.66	-0.61	
2012-07	2.69	-0.6	
2012-08	2.63	-0.61	
2012-09	2.45	-0.63	
2012-10	2.42	-0.63	
2012-11	2.36	-0.64	
2012-12	2.42	-0.63	
2013-01	2.68	-0.59	
2013-02	2.75	-0.57	
2013-03	2.93	-0.54	
2013-04	2.87	-0.55	
2013-05	2.83	-0.55	
2013-06	2.43	-0.61	
2013-07	2.29	-0.63	
2013-08	2.32	-0.63	
2013-09	2.37	-0.62	
2013-10	2.4	-0.61	
2013-11	2.5	-0.59	
2013-12	2.45	-0.6	
2014-01	2.28	-0.62	
2014-02	2.32	-0.61	
2014-03	2.32	-0.61	
2014-04	2.35	-0.6	
2014-05	2.28	-0.61	
2014-06	2.21	-0.62	
2014-07	2.25	-0.61	
2014-08	2.32	-0.6	
2014-09	2.47	-0.57	
2014-10	2.56	-0.55	
2014-11	2.91	-0.48	
2014-12	3.86	-0.31	
2015-01	4.22	-0.24	
2015-02	3.7	-0.33	
2015-03	4.08	-0.26	
2015-04	5.22	-0.05	
2015-05	6.86	0.25	
2015-06	7.1	0.3	
2015-07	5.27	-0.03	
2015-08	4.96	-0.07	
2015-09	4.3	-0.18	
2015-10	4.24	-0.18	
2015-11	4.22	-0.17	
2015-12	4.01	-0.19	
2016-01	3.28	-0.32	
2016-02	2.97	-0.36	
2016-03	3.09	-0.32	
2016-04	3.04	-0.31	
2016-05	2.92	-0.31	
2016-06	2.92	-0.29	
2016-07	2.96	-0.26	
2016-08	3.02	-0.24	
2016-09	3.01	-0.23	
2016-10	3.02	-0.22	
2016-11	3.1	-0.19	
2016-12	3.19	-0.16	
2017-01	3.26	-0.14	
2017-02	3.31	-0.12	
2017-03	3.25	-0.13	
