month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2015-12	15.98	0.45	-0.15	-61.49	-0.08	-61.92	
2016-01	13.12	0.37	-0.29	-78.21	-0.24	-76.83	
2016-02	12.72	0.36	-0.3	-81.55	-0.25	-80.77	
2016-03	12.99	0.36	-0.28	-83.42	-0.23	-82.65	
2016-04	13.05	0.36	-0.27	-75.98	-0.23	-79.15	
2016-05	12.46	0.35	-0.29	-92.73	-0.24	-88.35	
2016-06	12.3	0.34	-0.29	-92.32	-0.26	-87.32	
2016-07	12.47	0.35	-0.28	-80.78	-0.24	-70.19	
2016-08	12.29	0.34	-0.29	-85.71	-0.24	-71.39	
2016-09	12.01	0.34	-0.3	-95.62	-0.24	-78.12	
2016-10	12.31	0.35	-0.27	-75.89	-0.22	-61.27	
2016-11	12.71	0.36	-0.25	-50.12	-0.2	-38.68	
2016-12	13.13	0.37	-0.22	-2.03	-0.18	2.68	
2017-01	12.89	0.36	-0.23	7.19	-0.2	10.66	
2017-02	13.13	0.37	-0.22	24.7	-0.18	22.02	
2017-03	12.96	0.36	-0.23	29.78	-0.2	24.03	
2017-04	12.3	0.35	-0.27	0.4	-0.22	-4.91	
2017-05	11.43	0.32	-0.32	-47.1	-0.29	-43.62	
2017-06	11.27	0.32	-0.33	-69.6	-0.29	-63.64	
2017-07	11.07	0.31	-0.34	-74.83	-0.31	-73.72	
2017-08	11.21	0.32	-0.33	-73.76	-0.29	-63.24	
2017-09	11.31	0.32	-0.32	-64.75	-0.29	-58.37	
2017-10	11.26	0.32	-0.32	-60.14	-0.27	-64.55	
2017-11	11.4	0.32	-0.31	-46.79	-0.27	-50.97	
2017-12	10.45	0.3	-0.37	-85.46	-0.32	-77.12	
2018-01	12.31	0.35	-0.25	-32.31	-0.2	-24.27	
2018-02	11.24	0.32	-0.32	-1.25	-0.27	-13.99	
2018-03	11.15	0.31	-0.32	-33.16	-0.3	-35.07	
2018-04	11.45	0.32	-0.3	-5.36	-0.27	-16.62	
2018-05	10.87	0.31	-0.33	-52.35	-0.3	-40.18	
2018-06	9.93	0.28	-0.39	-74.29	-0.36	-67.41	
2018-07	9.27	0.26	-0.43	-92.86	-0.41	-73.58	
2018-08	10.15	0.29	-0.37	-73.76	-0.33	-61.96	
2018-09	11.13	0.32	-0.31	-31.81	-0.26	-22.27	
2018-10	10.21	0.29	-0.37	-40.52	-0.33	-31.65	
2018-11	9.68	0.27	-0.4	-74.23	-0.37	-62.99	
2018-12	9.18	0.26	-0.43	-85.98	-0.4	-73.26	
2019-01	8.55	0.24	-0.46	-88.07	-0.44	-83.08	
2019-02	9.13	0.26	-0.43	-76.43	-0.4	-70.24	
2019-03	9.86	0.28	-0.38	-40.69	-0.35	-37.12	
2019-04	10.48	0.3	-0.33	-2.21	-0.3	0.3	
2019-05	9.32	0.26	-0.4	-39.73	-0.38	-37.59	
2019-06	9.41	0.27	-0.39	-50.66	-0.36	-42.44	
2019-07	10.01	0.29	-0.34	-7.42	-0.29	1.13	
2019-08	10.42	0.3	-0.31	25.65	-0.27	25.85	
2019-09	12.71	0.36	-0.15	65.27	-0.12	68.04	
2019-10	13.52	0.39	-0.1	84.28	-0.05	77.98	
2019-11	15.78	0.45	0.05	93.75	0.1	92.56	
2019-12	17.71	0.51	0.18	98.38	0.24	96.55	
2020-01	18.79	0.54	0.25	92.75	0.32	92.52	
2020-02	17.03	0.49	0.13	80.27	0.2	79.73	
2020-03	13.5	0.39	-0.1	42.05	-0.05	42.21	
2020-04	12.24	0.35	-0.18	5.19	-0.15	5.61	
2020-05	12.99	0.37	-0.13	-0.99	-0.1	-0.74	
2020-06	13.46	0.39	-0.1	-0.54	-0.05	1.2	
2020-07	14.31	0.41	-0.04	12.23	0	16.77	
2020-08	13.67	0.4	-0.08	-3.4	-0.02	0.76	
2020-09	12.08	0.35	-0.18	-42.78	-0.15	-41.19	
2020-10	11.67	0.34	-0.21	-64.01	-0.17	-62.05	
2020-11	12.15	0.35	-0.17	-62.97	-0.15	-55.65	
2020-12	13.23	0.38	-0.1	-17.43	-0.07	-14.05	
2021-01	15.11	0.44	0.03	19.82	0.07	20.54	
2021-02	18.02	0.52	0.23	52.26	0.27	54.76	
2021-03	16.04	0.46	0.09	62.81	0.12	61.69	
2021-04	14.27	0.41	-0.03	47.66	0	42.3	
2021-05	14.71	0.43	0	53.03	0.05	47.37	
2021-06	15.03	0.44	0.03	57.7	0.07	53.15	
2021-07	13.49	0.4	-0.08	5.72	-0.02	9.21	
2021-08	12.65	0.37	-0.13	-39.77	-0.1	-39.41	
2021-09	15.27	0.45	0.05	0.94	0.1	5.89	
2021-10	15.64	0.46	0.07	33.32	0.12	42.58	
2021-11	14.56	0.43	0	21.71	0.05	32.39	
2021-12	14.19	0.41	-0.02	-15.84	0	-11.1	
2022-01	14.76	0.43	0.02	26.22	0.05	30.97	
2022-02	15.93	0.47	0.1	52.01	0.15	50.84	
2022-03	15.34	0.43	0.07	47.98	0.05	39.71	
2022-04	12.99	0.38	-0.09	-16.54	-0.05	-22.7	
2022-05	13.13	0.38	-0.07	-45.68	-0.05	-46.99	
2022-06	14.85	0.44	0.05	-1.74	0.1	5.78	
2022-07	13.26	0.39	-0.06	-46.56	-0.03	-44.39	
2022-08	13.81	0.41	-0.02	-53.14	0.03	-47.59	
2022-09	14.87	0.44	0.06	6.17	0.1	20.66	
2022-10	15.66	0.46	0.12	42.41	0.15	47.38	
2022-11	17.76	0.53	0.27	73.13	0.33	70.25	
2022-12	16.73	0.49	0.2	63.8	0.23	65.38	
2023-01	16.62	0.49	0.19	68.19	0.23	64.29	
2023-02	15.98	0.47	0.15	52.1	0.17	50.94	
2023-03	15.97	0.47	0.15	50.23	0.17	49.65	
2023-04	15.68	0.46	0.13	23.35	0.15	21.52	
2023-05	15.05	0.45	0.09	1.25	0.12	4.06	
2023-06	13.91	0.42	0.01	-41.74	0.08	-41.03	
2023-07	14.74	0.44	0.07	-39.07	0.13	-36.78	
2023-08	15.03	0.45	0.1	-30.78	0.15	-19.1	
2023-09	16.28	0.49	0.2	10.8	0.26	23.48	
2023-10	15.86	0.47	0.18	21.69	0.21	30.73	
2023-11	14.97	0.45	0.12	-17.53	0.18	-6.29	
2023-12	14.37	0.43	0.08	-54.29	0.13	-42.22	
2024-01	14.81	0.44	0.11	-52.72	0.16	-45.94	
2024-02	14.59	0.44	0.1	-63.58	0.16	-57.27	
2024-03	15.49	0.46	0.17	-42.13	0.21	-32.4	
2024-04	18.77	0.56	0.41	63.57	0.47	59.73	
2024-05	18.15	0.54	0.36	82.23	0.38	77.37	
2024-06	17.16	0.52	0.28	71.43	0.33	69.83	
2024-07	15.83	0.48	0.18	38.9	0.23	38.9	
2024-08	14.51	0.44	0.08	-10.67	0.13	-12.7	
2024-09	13.89	0.42	0.04	-35.81	0.08	-38.39	
2024-10	15.56	0.47	0.16	-28.32	0.21	-22.72	
2024-11	15.4	0.47	0.14	-29.46	0.21	-18.2	
2024-12	14.93	0.45	0.11	-43.38	0.15	-40.91	
2025-01	15.29	0.46	0.13	-24.31	0.18	-23.36	
2025-02	14.59	0.44	0.08	-47.14	0.1	-40.36	
