month	ct_avg_前复权价格	人均持股
2007-09	1	6821564	
2007-12	0.82	6976600	
2008-03	0.67	7008457	
2008-06	0.57	7008457	
2008-09	0.35	6673270	
2008-12	0.32	5926069	
2009-03	0.34	5835939	
2009-06	0.42	5835939	
2009-09	0.37	5748509	
2009-12	0.41	5903277	
2010-03	0.4	5926069	
2010-06	0.31	5748509	
2010-09	0.37	5858214	
2010-12	0.6	6264702	
2011-03	0.62	6290377	
2011-06	0.46	6090683	
2011-09	0.37	5995516	
2011-12	0.38	5880659	
2012-03	0.46	5949039	
2012-06	0.43	5858214	
2012-09	0.43	5858214	
2012-12	0.42	6164064	
2013-03	0.45	6316263	
2013-06	0.41	6239236	
2013-09	0.47	6615741	
2013-12	0.62	6821564	
2014-03	0.49	8049440	
2014-06	0.46	7840364	
