month	ct_avg_前复权价格	股东人数
2016-09	1.56	48965.5	
2016-12	2.03	26348	
2017-02	1.65	24062	
2017-03	1.65	24050	
2017-06	2.24	13519	
2017-09	3.56	8175	
2017-12	2.97	7574	
2018-03	3.5	6935	
2018-06	2.93	8160	
2018-09	2.5	8036	
2018-12	3.12	7796	
2019-03	3.78	8282	
2019-06	3.07	12274	
2019-09	3.28	15989	
2019-12	4.71	19380	
2020-03	5.26	27249	
2020-06	6.52	20737	
2020-09	8.93	20448	
2020-12	12.62	21652	
2021-02	13.14	44848	
2021-03	11.85	41162	
2021-06	19.99	28637	
2021-09	29.6	30947	
2021-12	25.94	46438	
2022-03	23.52	43546	
2022-06	25.05	32748	
2022-09	19.1	44161	
2022-12	14.17	53785	
2023-02	14.29	75356	
2023-03	11.61	84240	
2023-06	9.75	82625	
2023-09	6.49	83928	
2023-12	5.74	98774	
2024-03	4.63	101585	
2024-06	3.89	97226	
2024-09	2.93	95385	
