month	ct_avg_前复权价格	人均持股
2017-03	1.16	1062.5	
2017-06	1.54	2638	
2017-09	1.44	3262	
2017-12	1.62	4025	
2018-03	1.94	9574	
2018-06	1.92	11588	
2018-09	1.27	11251	
2018-12	1.17	10840	
2019-03	1.5	12307	
2019-06	1.54	11729	
2019-09	1.66	13549	
2019-12	1.49	12844	
2020-03	1.46	43937	
2020-06	1.61	52391	
2020-09	2.16	58289	
2020-12	2.54	63904	
2021-03	3.02	60209	
2021-06	3.01	47124	
2021-09	2.83	51142	
2021-12	2.69	64748	
2022-03	2.4	54171	
2022-06	2.6	84440	
2022-09	2.55	47339	
2022-12	2.41	63007	
2023-03	2.63	58770	
2023-06	1.96	37963	
2023-09	2.06	46504	
2023-12	1.43	28889	
2024-03	1.39	29189	
2024-06	1.28	29401	
2024-09	1	30640	
