month	ct_avg_Tdx收盘价	股东人数
2017-03	83.67	39057.5	
2017-06	110.98	15737	
2017-09	103.4	12727	
2017-12	116.91	10314	
2018-03	140.04	9349	
2018-06	138.66	7724	
2018-09	90.75	8187	
2018-12	83.64	8497	
2019-03	107.17	7484	
2019-06	109.91	7853	
2019-09	118.05	6981	
2019-12	105.89	7364	
2020-03	103.96	9563	
2020-06	114.73	8020	
2020-09	108.57	10231	
2020-12	128.04	9413	
2021-03	152.26	10004	
2021-06	150.52	12865	
2021-09	141.21	11911	
2021-12	134.39	9408	
2022-03	120.24	11245	
2022-06	129.96	7214	
2022-09	125.63	12868	
2022-12	118.43	9668	
2023-03	129.44	10365	
2023-06	96.68	16046	
2023-09	99.76	13099	
2023-12	68.98	21086	
2024-03	67.2	20869	
2024-06	61.8	20719	
2024-09	45.67	19881	
