month	ct_avg_前复权价格	股东人数
2021-09	0.88	55150	
2021-12	1.4	1107	
2022-03	1.11	1105	
2022-06	1.05	1104	
2022-09	1.02	1094	
2023-03	0.91	1086	
2023-06	0.75	1077	
2023-09	0.74	1072	
2023-12	0.63	10196	
2024-01	0.62	18703	
2024-03	0.79	1060	
2024-04	0.89	16811	
2024-06	0.85	1054	
2024-08	0.96	14563.5	
2024-09	0.81	1051	
