month	ct_avg_Tdx收盘价	股东人数
2021-09	50.58	55150	
2021-12	80.1	1107	
2022-03	61.65	1105	
2022-06	59.72	1104	
2022-09	57.92	1094	
2023-03	51.83	1086	
2023-06	42.36	1077	
2023-09	41.62	1072	
2023-12	35.44	10196	
2024-01	34.58	18703	
2024-03	44.01	1060	
2024-04	49.62	16811	
2024-06	47.87	1054	
2024-08	53.26	14563.5	
2024-09	44.65	1051	
