month	ct_avg_Tdx收盘价	人均持股
2021-09	50.58	245945.5	
2021-12	80.1	494426	
2022-03	61.65	495321	
2022-06	59.72	495769	
2022-09	57.92	500301	
2023-03	51.83	503987	
2023-06	42.36	508198	
2023-09	41.62	510568	
2023-12	35.44	263206	
2024-01	34.58	13898	
2024-03	44.01	516348	
2024-04	49.62	15463	
2024-06	47.87	514832	
2024-08	53.26	17850	
2024-09	44.65	516301	
