month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2009-03	20.48	0.16	
2009-04	21.63	0.23	
2009-05	20.65	0.17	
2009-06	20.93	0.19	
2009-07	24.17	0.38	
2009-08	23.63	0.34	
2009-09	24.21	0.38	
2009-10	26.72	0.52	
2009-11	27.51	0.56	
2009-12	25.67	0.46	
2010-01	24.15	0.38	
2010-02	22.68	0.3	
2010-03	22.97	0.32	
2010-04	22.67	0.3	
2010-05	18.53	0.06	
2010-06	17.96	0.03	
2010-07	20.35	0.16	
2010-08	21.67	0.23	
2010-09	10.89	-0.38	
2010-10	13.86	-0.21	
2010-11	14.38	-0.18	
2010-12	14.45	-0.18	
2011-01	13.51	-0.23	
2011-02	14.34	-0.19	
2011-03	15.27	-0.13	
2011-04	16.22	-0.08	
2011-05	14.31	-0.19	
2011-06	14.59	-0.18	
2011-07	13.8	-0.23	
2011-08	10.96	-0.38	
2011-09	9.99	-0.44	
2011-10	9.58	-0.46	
2011-11	9.28	-0.48	
2011-12	7.66	-0.57	
2012-01	8.38	-0.53	
2012-02	9.22	-0.48	
2012-03	9.5	-0.46	
2012-04	9.75	-0.45	
2012-05	10.29	-0.42	
2012-06	10.53	-0.4	
2012-07	9.68	-0.45	
2012-08	9.11	-0.48	
2012-09	8.38	-0.52	
2012-10	8.68	-0.5	
2012-11	8.24	-0.53	
2012-12	8.82	-0.5	
2013-01	9.05	-0.48	
2013-02	9.64	-0.45	
2013-03	8.52	-0.51	
2013-04	7.88	-0.55	
2013-05	7.33	-0.58	
2013-06	6.27	-0.64	
2013-07	5.22	-0.7	
2013-08	5.3	-0.7	
2013-09	5.82	-0.67	
2013-10	5.71	-0.67	
2013-11	5.63	-0.68	
2013-12	5.62	-0.68	
2014-01	5.12	-0.71	
2014-02	5.11	-0.71	
2014-03	4.93	-0.72	
2014-04	4.89	-0.72	
2014-05	4.57	-0.74	
2014-06	4.46	-0.74	
2014-07	4.51	-0.74	
2014-08	4.72	-0.73	
2014-09	4.83	-0.72	
2014-10	4.82	-0.72	
2014-11	5.07	-0.7	
2014-12	6.25	-0.63	
2015-01	6.43	-0.62	
2015-02	6.04	-0.64	
2015-03	6.58	-0.61	
2015-04	7.83	-0.53	
2015-05	7.85	-0.53	
2015-06	9.36	-0.44	
2015-07	6.37	-0.61	
2015-08	6.43	-0.6	
2015-09	5.27	-0.67	
2015-10	5.33	-0.66	
2015-11	5.46	-0.65	
2015-12	5.46	-0.64	
2016-01	4.71	-0.68	
